"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 14:39:25";="620101360";Nombre RSA groupés en CM 90;0;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:02";="590781662";Nombre RSA avec Diags COVID-19 (sauf U07.13);73;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:02";="590781662";Nombre RSA avec Diags COVID-19;77;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:02";="590781662";Nombre RSA correctement chainés;77;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:02";="590781662";Nombre RSA groupés en CM 90;0;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:04:45";="590781621";Nombre RSA avec Diags COVID-19 (sauf U07.13);91;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:45";="590781621";Nombre RSA avec Diags COVID-19;93;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:45";="590781621";Nombre RSA correctement chainés;93;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:45";="590781621";Nombre RSA groupés en CM 90;0;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:33";="590052056";Nombre RSA avec Diags COVID-19 (sauf U07.13);4;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:33";="590052056";Nombre RSA avec Diags COVID-19;12;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:33";="590052056";Nombre RSA correctement chainés;12;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:33";="590052056";Nombre RSA groupés en CM 90;0;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:34:43";="590781795";Nombre RSA avec Diags COVID-19 (sauf U07.13);45;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:34:43";="590781795";Nombre RSA avec Diags COVID-19;47;2023.7;X590781795;30AUG23;16:33:32
