"champ";"statut";"annee";"periode";"date du resultat";"ipe";cage;nbh;nbf;nb;pcth;pctf;pct;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 13:05:08";="620000026";4;1716;2145;3861;56.41025641;52.317073171;54.060487258;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:08";="620000026";5;991;1561;2552;32.577251808;38.073170732;35.732287875;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:08";="620000026";6;83;124;207;2.7284681131;3.0243902439;2.8983478017;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:02";="620003350";2;1;1;2;0.074682599;0.0471920717;0.0578368999;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:02";="620003350";3;22;45;67;1.643017177;2.1236432279;1.9375361481;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:02";="620003350";4;529;531;1060;39.507094847;25.05899009;30.653556969;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:02";="620003350";5;500;675;1175;37.341299477;31.854648419;33.979178716;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:02";="620003350";6;287;867;1154;21.4339059;40.915526192;33.371891267;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:06";="590000600";3;3;8;11;0.6849315068;1.4981273408;1.1316872428;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:06";="590000600";4;218;183;401;49.771689498;34.269662921;41.255144033;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:06";="590000600";5;131;148;279;29.908675799;27.715355805;28.703703704;2023.7;X590000600;29AUG23;14:23:02
