"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois;semaine;ponder;ponder_cn;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";6;;12;12;9.0833333333;81.5;84;58.333333333;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";99;;162;162;9.1049382716;75.888888889;81.5;41.358024691;0;3.0864197531;3.7037037037;9999;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:32";="590001749";1;;7;7;18.571428571;83;92;28.571428571;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:32";="590001749";2;;2;2;11.5;88.5;88.5;100;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:32";="590001749";3;;8;8;7.875;78.375;82.5;62.5;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:32";="590001749";4;;13;13;13.384615385;75.461538462;72;38.461538462;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:32";="590001749";5;;6;6;9.3333333333;85.166666667;85;16.666666667;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:32";="590001749";6;;4;4;8;85.75;84.5;100;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:32";="590001749";99;;40;40;11.95;80.5;84;47.5;0;0;0;9999;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:43";="590781670";1;;11;11;16.727272727;83.636363636;86;36.363636364;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:43";="590781670";2;;4;4;8;86.75;87.5;0;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:43";="590781670";3;;19;19;10.052631579;75.894736842;80;73.684210526;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:43";="590781670";4;;19;19;11;80.421052632;84;42.105263158;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:43";="590781670";5;;11;11;14.545454545;80;84;54.545454545;0;0;0;2023;2023.7;X590781670;29AUG23;14:46:17
