"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;col1;col4;col6;col5;col1_am;col1_coef;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 19:10:26";="590782439";mnt_si_v;0;0;0;0;0;0;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:10:26";="590782439";mnt_tot;2066722.5323;1512982.9455;553739.58686;1414073.5475;1925433.6277;2052255.4746;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";coefgeo;;1;1;;;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";coefp;;0.993;0.993;;;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";coefrep;;0.9853;0.9841;;;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";coefseg;;0.9897;0.9931;;;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_ghs;1049931.3708;779219.37624;270711.99456;725804.8406;974681.85121;1042581.8512;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_sejc;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_ghs50;-3439.729581;-3439.729581;0;-3415.651474;-3415.651474;-3415.651474;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_exh;888763.16637;610529.83537;278233.331;606256.12652;882541.8242;882541.8242;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_9615;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_rap;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_ant;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_rdth;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_jrea;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_rep;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_nn1;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_nn2;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_nn3;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_po;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_caisson;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_suppdia;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_sdc;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_supp_inno;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_ctc;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_sc_v;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_si_v;0;0;0;0;0;0;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/23 11:55:22";="590049565";mnt_tot;1935254.8076;1386309.482;548945.32556;1328645.3156;1853808.0239;1921708.0239;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";coefgeo;;1;1;;;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";coefp;;0.993;0.993;;;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";coefrep;;1;1;;;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";coefseg;;1.0023;1.0013;;;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:21";="020000253";mnt_ghs;23983050.982;17358401.749;6624649.2329;16107297.879;22295388.195;23815169.625;2023.7;X020000253;24AUG23;14:38:01
