"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois_e;semaine_e;ponder;ponder_cn;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee_e;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:21:23";="620003350";5;;26;26;8.8461538462;78.576923077;84;42.307692308;0;0;23.076923077;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:23";="620003350";6;;5;5;8;81;86;40;0;0;0;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:23";="620003350";7;;1;1;5;98;98;100;0;0;0;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:23";="620003350";99;;163;163;10.680981595;83.926380368;86;29.447852761;0;0;26.380368098;9999;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";12;;4;4;21.25;88.5;88.5;0;0;0;0;2022;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";1;;6;6;15.666666667;88;87;16.666666667;0;0;0;2023;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";2;;2;2;16;84;84;0;0;0;0;2023;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";3;;9;9;9.1111111111;78.444444444;79;55.555555556;0;0;0;2023;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";4;;6;6;21.5;79.333333333;80;50;0;0;0;2023;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";5;;3;3;14;83.666666667;83;33.333333333;0;0;0;2023;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:25";="590000600";99;;30;30;15.466666667;82.766666667;84.5;33.333333333;0;0;0;9999;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";12;;31;31;17.258064516;83.161290323;85;35.483870968;0;16.129032258;6.4516129032;2022;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";1;;32;32;8.625;75.84375;78.5;46.875;0;0;6.25;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";2;;8;8;4;62.5;63.5;37.5;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";3;;38;38;7.3947368421;74.263157895;79;39.473684211;0;0;2.6315789474;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:00";="620025346";4;;30;30;6.4;74;81;46.666666667;0;0;3.3333333333;2023;2023.7;X620025346;29AUG23;14:24:34
