"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois;nbatu;mnt_br;mnt_remb;nb_gyn;mnt_br_gyn;mnt_remb_gyn;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 10:50:13";="590781415";5;299;8520.136261;6912.9935014;246;7009.877994;5670.592361;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:13";="590781415";6;261;7437.309579;6046.7321558;235;6696.428165;5442.628849;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 10:50:13";="590781415";7;254;7237.841506;5864.3613462;206;5870.060434;4735.9419618;2023.7;X590781415;31AUG23;10:49:44
"mco";"dgf";"2023";"7";"2023/08/31 11:54:12";="590781621";3;4;113.981756;91.1854048;0;0;0;2023.7;X590781621;31AUG23;11:54:00
"mco";"dgf";"2023";"7";"2023/08/31 12:34:14";="020004404";1;112;3025.694672;2512.407183;0;0;0;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:14";="020004404";2;94;2539.422314;2117.9862704;0;0;0;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:14";="020004404";3;93;2650.075827;2205.5469786;0;0;0;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:14";="020004404";4;103;2935.030217;2462.0059296;0;0;0;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:14";="020004404";5;99;2821.048461;2313.8296468;0;0;0;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:14";="020004404";6;116;3305.470924;2707.066705;0;0;0;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 12:34:14";="020004404";7;118;3362.461802;2786.8539342;0;0;0;2023.7;X020004404;31AUG23;12:33:56
"mco";"dgf";"2023";"7";"2023/08/31 14:50:07";="800000093";1;50;1350.75655;1086.0082662;0;0;0;2023.7;X800000093;31AUG23;14:49:52
"mco";"dgf";"2023";"7";"2023/08/31 14:50:07";="800000093";2;33;891.499323;718.6024846;0;0;0;2023.7;X800000093;31AUG23;14:49:52
"mco";"dgf";"2023";"7";"2023/08/31 14:50:07";="800000093";3;53;1510.258267;1242.4011404;0;0;0;2023.7;X800000093;31AUG23;14:49:52
"mco";"dgf";"2023";"7";"2023/08/31 14:50:07";="800000093";4;48;1367.781072;1128.4193844;0;0;0;2023.7;X800000093;31AUG23;14:49:52
"mco";"dgf";"2023";"7";"2023/08/31 14:50:07";="800000093";5;54;1538.753706;1253.799316;0;0;0;2023.7;X800000093;31AUG23;14:49:52
"mco";"dgf";"2023";"7";"2023/08/31 14:50:07";="800000093";6;23;655.395097;547.1124288;0;0;0;2023.7;X800000093;31AUG23;14:49:52
"mco";"dgf";"2023";"7";"2023/08/31 14:50:07";="800000093";7;13;370.440707;302.0516534;0;0;0;2023.7;X800000093;31AUG23;14:49:52
"mco";"dgf";"2023";"7";"2023/09/01 13:04:27";="590782637";1;68;1837.028908;1491.2352312;0;0;0;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:04:27";="590782637";2;52;1404.786812;1123.8294496;0;0;0;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:04:27";="590782637";3;82;2336.625998;1869.3007984;0;0;0;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:04:27";="590782637";4;55;1567.249145;1268.0470355;0;0;0;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:04:27";="590782637";5;115;3276.975485;2650.075827;0;0;0;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:04:27";="590782637";6;91;2593.084949;2097.2643104;0;0;0;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:04:27";="590782637";7;105;2992.021095;2413.5636833;0;0;0;2023.7;X590782637;01SEP23;13:04:07
"mco";"dgf";"2023";"7";"2023/09/01 13:09:21";="620100057";1;239;6456.616309;5321.980807;0;0;0;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 13:09:21";="620100057";2;253;6834.828143;5586.7290908;0;0;0;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 13:09:21";="620100057";3;304;8662.613456;7106.7624866;0;0;0;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 13:09:21";="620100057";4;117;3333.966363;2781.1548464;0;0;0;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 13:09:21";="620100057";5;136;3875.379704;3185.7900802;0;0;0;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 13:09:21";="620100057";6;102;2906.534778;2410.7141394;0;0;0;2023.7;X620100057;01SEP23;13:09:00
"mco";"dgf";"2023";"7";"2023/09/01 15:20:19";="800000028";1;146;3944.209126;3247.2187462;0;0;0;2023.7;X800000028;01SEP23;15:19:59
