"champ";"statut";"annee";"periode";"date du resultat";"ipe";let_ghm;adnp_11;adnp_10;adnp_21;adnp_20;adnp_v1;adnp_v0;adnp_x1;adnp_x0;Total_Dans;Total_Hors;Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 14:55:59";="590781662";Z;0;0;0;0;0;15;0;0;0;15;15;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:04:42";="590781621";M;8;0;5;181;1;449;0;0;14;630;644;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:42";="590781621";Z;2;0;0;2;0;5;0;0;2;7;9;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:30";="590052056";C;3;1;36;1;77;0;0;0;116;2;118;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:30";="590052056";K;0;0;15;0;20;0;0;0;35;0;35;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:30";="590052056";M;4;0;17;7;26;4;0;0;47;11;58;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:30";="590052056";Z;0;0;0;1;2;3;0;0;2;4;6;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:34:36";="590781795";M;0;0;0;0;181;223;0;0;181;223;404;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:34:36";="590781795";Z;0;0;0;0;2;0;0;0;2;0;2;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:36:58";="620100677";M;9;0;12;0;5;166;0;0;26;166;192;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:36:58";="620100677";Z;0;0;0;0;1;8;0;0;1;8;9;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:37:35";="590781415";C;43;2;346;1;22;274;0;0;411;277;688;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:35";="590781415";K;5;0;107;0;8;49;0;0;120;49;169;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:35";="590781415";M;160;6;152;2;62;2371;0;0;374;2379;2753;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:37:35";="590781415";Z;0;0;0;0;0;10;0;0;0;10;10;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:39";="620103440";C;10;0;350;0;0;245;0;0;360;245;605;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:39";="620103440";K;9;0;106;0;0;71;0;0;115;71;186;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:39";="620103440";M;34;0;495;0;1;2069;0;0;530;2069;2599;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:38:39";="620103440";Z;1;0;16;0;0;40;0;0;17;40;57;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:13:34";="800000085";M;0;0;72;250;1;158;0;0;73;408;481;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:13:34";="800000085";Z;0;0;4;8;0;7;0;0;4;15;19;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:47:06";="590780193";C;0;0;0;0;1201;676;0;0;1201;676;1877;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:47:06";="590780193";K;0;0;0;0;684;262;0;0;684;262;946;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:47:06";="590780193";M;0;0;0;0;1083;3713;0;0;1083;3713;4796;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:47:06";="590780193";Z;0;0;0;0;19;30;0;0;19;30;49;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:25:13";="020004404";C;0;0;57;0;20;103;0;0;77;103;180;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:13";="020004404";K;0;0;5;0;2;2;0;0;7;2;9;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:13";="020004404";M;10;2;50;1;27;1412;0;0;87;1415;1502;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:13";="020004404";Z;0;0;0;0;0;5;0;0;0;5;5;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:25:46";="590781605";C;7;0;185;0;0;229;0;0;192;229;421;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:46";="590781605";K;2;0;17;0;0;24;0;0;19;24;43;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:46";="590781605";M;62;0;108;2;1;1588;0;0;171;1590;1761;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:25:46";="590781605";Z;4;0;0;0;0;35;0;0;4;35;39;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:15";="590781811";K;0;0;0;0;0;1;0;0;0;1;1;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:33:50";="800000093";C;2;0;25;0;0;64;0;0;27;64;91;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:50";="800000093";K;0;0;16;0;0;0;0;0;16;0;16;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:50";="800000093";M;8;0;13;2;0;654;0;0;21;656;677;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:50";="800000093";Z;0;0;0;1;0;10;0;0;0;11;11;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:52:23";="600100713";C;4;0;38;1;181;206;0;0;223;207;430;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:23";="600100713";K;5;0;16;0;98;84;0;0;119;84;203;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:23";="600100713";M;37;14;21;0;278;1679;0;0;336;1693;2029;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:23";="600100713";Z;6;1;2;0;29;106;0;0;37;107;144;2023.7;X600100713;31AUG23;14:51:48
