"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;mois;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIC;7;135;7283.25;7283.25;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIM;1;881;29945.19;29945.19;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIM;2;783;26614.17;26614.17;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIM;3;1000;34290;34290;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIM;4;837;28700.73;28700.73;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIM;5;987;33844.23;33844.23;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIM;6;989;33912.81;33912.81;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SIM;7;746;25580.34;25580.34;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSF;1;98;1835.54;1835.54;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSF;2;80;1498.4;1498.4;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSF;3;68;1284.52;1284.52;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSF;4;126;2380.14;2380.14;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSF;5;177;3343.53;3343.53;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSF;6;92;1737.88;1737.88;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSF;7;127;2399.03;2399.03;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSN;1;226;5584.46;5584.46;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSN;2;205;5065.55;5065.55;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSN;3;284;7080.12;7080.12;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSN;4;258;6431.94;6431.94;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSN;5;333;8301.69;8301.69;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSN;6;341;8501.13;8501.13;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SSN;7;225;5609.25;5609.25;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU2;1;23;334.19;334.19;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU2;2;16;232.48;232.48;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU2;3;15;215.55;215.55;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU2;4;15;215.55;215.55;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU2;5;17;244.29;244.29;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU2;6;21;301.77;301.77;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU2;7;14;201.18;201.18;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU3;1;141;2732.58;2732.58;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU3;2;132;2558.16;2558.16;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU3;3;114;2185.38;2185.38;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU3;4;161;3086.37;3086.37;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU3;5;204;3910.68;3910.68;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU3;6;146;2798.82;2798.82;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SU3;7;156;2990.52;2990.52;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUB;1;172;7430.4;7430.4;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUB;2;155;6696;6696;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUB;3;186;8124.48;8124.48;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUB;4;163;7119.84;7119.84;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUB;5;143;6246.24;6246.24;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUB;6;161;7032.48;7032.48;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUB;7;103;4499.04;4499.04;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUF;1;660;6877.2;6877.2;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUF;2;606;6314.52;6314.52;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUF;3;700;7357;7357;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUF;4;887;9322.37;9322.37;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUF;5;1042;10951.42;10951.42;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUF;6;827;8691.77;8691.77;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUF;7;878;9227.78;9227.78;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUM;1;440;5570.4;5570.4;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUM;2;399;5051.34;5051.34;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUM;3;445;5571.4;5571.4;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUM;4;407;5095.64;5095.64;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUM;5;484;6059.68;6059.68;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUM;6;567;7098.84;7098.84;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUM;7;441;5521.32;5521.32;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUN;1;429;16859.7;16859.7;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUN;2;338;13283.4;13283.4;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUN;3;385;15265.25;15265.25;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUN;4;412;16335.8;16335.8;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUN;5;496;19666.4;19666.4;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUN;6;563;22322.95;22322.95;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:54";="590780227";SUN;7;483;19150.95;19150.95;0;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";CFU;1;324;3602.88;3602.88;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";CFU;2;350;3892;3892;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";CFU;3;354;3936.48;3936.48;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";CFU;4;385;4281.2;4281.2;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";CFU;5;392;4359.04;4359.04;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";CFU;6;390;4336.8;4336.8;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";CFU;7;267;2969.04;2969.04;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FPX;1;79;1549.19;1549.19;0;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:38:59";="590781605";FPX;2;67;1313.87;1313.87;0;0;0;2023.7;X590781605;24AUG23;9:38:44
