"champ";"statut";"annee";"periode";"date du resultat";"ipe";cretc;COUNT;PERCENT;pctcum;effcum;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 14:11:49";="590782165";000000010;11;0.092506938;99.781347237;11865;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:49";="590782165";200000000;26;0.2186527626;100;11891;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:51";="620101360";000000000;15660;99.529680946;99.529680946;15660;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:51";="620101360";000000010;24;0.1525359095;99.682216855;15684;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:51";="620101360";200000000;50;0.3177831448;100;15734;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:21";="590781662";000000000;3406;99.358226371;99.358226371;3406;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:21";="590781662";200000000;22;0.6417736289;100;3428;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:05:08";="590781621";000000000;4372;99.771793702;99.771793702;4372;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:08";="590781621";200000000;5;0.1141031492;99.885896851;4377;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:08";="590781621";999910011;5;0.1141031492;100;4382;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:51";="590052056";000000000;9930;99.849170437;99.849170437;9930;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:51";="590052056";000000001;1;0.0100553042;99.859225742;9931;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:51";="590052056";100000000;2;0.0201106083;99.87933635;9933;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:51";="590052056";200000000;11;0.1106083459;99.989944696;9944;2023.7;X590052056;30AUG23;15:19:03
