"champ";"statut";"annee";"periode";"date du resultat";"ipe";contrat;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 14:25:30";="590781605";XX;1;0.0070556692;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:05";="590781811";Non renseigné;138;100;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:33:37";="800000093";Non renseigné;3100;99.903319368;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:37";="800000093";89 : Bénéficiaire de la CMU complémentaire (en cours);2;0.0644537544;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:37";="800000093";XX;1;0.0322268772;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:52:08";="600100713";Non renseigné;34833;99.785149536;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:08";="600100713";89 : Bénéficiaire de la CMU complémentaire (en cours);73;0.2091211184;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:52:08";="600100713";XX;2;0.0057293457;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:59:24";="020000048";Non renseigné;391;97.75;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 14:59:24";="020000048";89 : Bénéficiaire de la CMU complémentaire (en cours);5;1.25;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 14:59:24";="020000048";XX;4;1;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:42:33";="590782215";Non renseigné;62780;90.91304033;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:33";="590782215";89 : Bénéficiaire de la CMU complémentaire (en cours);6248;9.0478604011;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:42:33";="590782215";XX;27;0.0390992687;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:58:13";="620100685";Non renseigné;39994;99.517268836;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:13";="620100685";89 : Bénéficiaire de la CMU complémentaire (en cours);193;0.4802428586;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:58:13";="620100685";XX;1;0.002488305;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:53:37";="800000069";Non renseigné;2921;86.573799644;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:53:37";="800000069";89 : Bénéficiaire de la CMU complémentaire (en cours);453;13.426200356;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:06:33";="020000071";Non renseigné;225;99.557522124;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:06:33";="020000071";XX;1;0.4424778761;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:18:32";="600100721";Non renseigné;18964;90.793316417;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:32";="600100721";89 : Bénéficiaire de la CMU complémentaire (en cours);1922;9.2018959161;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:18:32";="600100721";XX;1;0.004787667;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:15:02";="620100057";Non renseigné;30152;99.567414061;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:15:02";="620100057";89 : Bénéficiaire de la CMU complémentaire (en cours);131;0.4325859393;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:21:13";="600101984";Non renseigné;32272;99.494388951;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:21:13";="600101984";89 : Bénéficiaire de la CMU complémentaire (en cours);152;0.468615119;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:21:13";="600101984";XX;12;0.0369959304;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:07:43";="800000028";Non renseigné;15723;99.777890595;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:07:43";="800000028";89 : Bénéficiaire de la CMU complémentaire (en cours);31;0.1967254728;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:07:43";="800000028";XX;4;0.025383932;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:02:31";="590783239";Non renseigné;27462;99.666110184;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:02:31";="590783239";89 : Bénéficiaire de la CMU complémentaire (en cours);71;0.2576758365;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:02:31";="590783239";XX;21;0.0762139798;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:12:51";="590785374";Non renseigné;4247;90.922714622;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:12:51";="590785374";89 : Bénéficiaire de la CMU complémentaire (en cours);414;8.8631984586;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:12:51";="590785374";XX;10;0.2140869193;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:55:22";="020000063";Non renseigné;41133;91.22421823;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:55:22";="020000063";89 : Bénéficiaire de la CMU complémentaire (en cours);3955;8.7713461965;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:55:22";="020000063";XX;2;0.0044355733;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 18:26:55";="590000188";Non renseigné;44800;90.846412783;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:26:55";="590000188";89 : Bénéficiaire de la CMU complémentaire (en cours);4514;9.1535872166;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/04 15:54:11";="620103432";Non renseigné;10647;89.200737265;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:11";="620103432";89 : Bénéficiaire de la CMU complémentaire (en cours);1288;10.790884718;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:11";="620103432";XX;1;0.0083780161;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:23:38";="590782637";Non renseigné;12687;99.217955736;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:23:38";="590782637";89 : Bénéficiaire de la CMU complémentaire (en cours);100;0.7820442637;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:09:25";="590781803";Non renseigné;12706;95.684916033;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:09:25";="590781803";89 : Bénéficiaire de la CMU complémentaire (en cours);47;0.3539423149;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:09:25";="590781803";XX;526;3.9611416522;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:40:50";="590780227";Non renseigné;14317;99.839609484;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:40:50";="590780227";89 : Bénéficiaire de la CMU complémentaire (en cours);10;0.069735007;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:40:50";="590780227";XX;13;0.0906555091;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:44:36";="800000044";Non renseigné;78857;99.111407169;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:36";="800000044";89 : Bénéficiaire de la CMU complémentaire (en cours);273;0.343120004;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:36";="800000044";XX;434;0.5454728269;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:00:56";="590781902";Non renseigné;18709;98.937070333;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:00:56";="590781902";89 : Bénéficiaire de la CMU complémentaire (en cours);186;0.9836065574;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:00:56";="590781902";XX;15;0.0793231095;2023.7;X590781902;07SEP23;20:00:41
