"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;pu;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;spec_fx;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";AMI F;3.15;9;76.38;66.196;9;76.38;66.196;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";AMI N;3.15;1.5;13.88;13.88;1.5;13.88;13.88;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";APC;55;2605;143275;120070.5;2601;143055;119894.5;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";B;0.26;161293;41936.18;35591.101;118975;30933.5;26034.281;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";B;0.27;37432;10106.64;8955.846;23920;6458.4;5661.036;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";C;23;523;12029;9998.1;518;11914;9892.3;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";CCP;46;7;322;322;7;322;322;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";COB;25;104;2600;2600;104;2600;2600;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";COD;30;60;1800;1800;60;1800;1800;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";COE;46;111;5106;5106;111;5106;5106;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";CS;23;7263;167049;139790.55;6647;152881;127973.15;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";CS  F;23;51;2145.06;1779.138;3;126.18;113.562;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";CS  N;23;97;5521;4562.9;3;69;62.1;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:11:48";="020000287";CSC;47.73;1637;78134.01;69521.1315;1637;78134.01;69521.1315;0;2023.7;X020000287;25AUG23;14:11:36
