"champ";"statut";"annee";"periode";"date du resultat";"ipe";factur18;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 16:55:21";="020000063";Non facturation du TMF;38753;85.945886006;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:55:21";="020000063";Facturation du TMF;6337;14.054113994;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 18:26:54";="590000188";Non facturation du TMF;49101;99.568073975;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:26:54";="590000188";Facturation du TMF;213;0.4319260251;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/04 15:54:10";="620103432";Non facturation du TMF;9897;82.917225201;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:10";="620103432";Facturation du TMF;2039;17.082774799;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:23:38";="590782637";Non facturation du TMF;11125;87.002424337;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:23:38";="590782637";Facturation du TMF;1662;12.997575663;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:09:24";="590781803";Non facturation du TMF;11433;86.098350779;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:09:24";="590781803";Facturation du TMF;1846;13.901649221;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:40:49";="590780227";Non facturation du TMF;11853;82.656903766;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:40:49";="590780227";Facturation du TMF;2487;17.343096234;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:44:35";="800000044";Non facturation du TMF;70386;88.464632246;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:44:35";="800000044";Facturation du TMF;9178;11.535367754;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:00:56";="590781902";Non facturation du TMF;16409;86.774193548;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:00:56";="590781902";Facturation du TMF;2501;13.225806452;2023.7;X590781902;07SEP23;20:00:41
