"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess;type;moiss;moist;mnt_am;mnt3;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;7;3;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;7;4;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;7;5;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;7;6;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;4;7;7;5835.4231546;5835.4231546;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;1;1;7631.775;7631.775;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;1;2;8644.576;1012.801;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;1;3;62778.408;54133.832;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;1;4;62702.318;-76.09;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;1;5;62862.2995;159.9815;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;1;6;62958.94;96.6405;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;1;7;62958.94;-2.18279E-11;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;2;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;2;2;23206.091;23206.091;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;2;3;48578;25371.909;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;2;4;51434.97;2856.97;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;2;5;51586.153;151.183;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;2;6;51991.2165;405.0635;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;2;7;51991.2165;2.182787E-11;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;3;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;3;2;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;3;3;61989.658;61989.658;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;3;4;70900.427;8910.769;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;3;5;70930.427;30;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;3;6;70981.567;51.14;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;3;7;70981.567;1.455192E-11;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;4;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;4;2;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;4;3;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;4;4;49105.0385;49105.0385;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;4;5;49191.3415;86.303;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;4;6;49234.8415;43.5;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;4;7;49234.8415;8.003553E-11;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;5;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;5;2;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;5;3;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;5;4;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;5;5;61036.689;61036.689;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;5;6;61315.269;278.58;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;5;7;61489.869;174.6;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;6;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;6;2;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;6;3;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;6;4;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;6;5;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;6;6;74610.214;74610.214;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;6;7;74610.214;7.275958E-11;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;7;1;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;7;2;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;7;3;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;7;4;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;7;5;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;7;6;0;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/09 14:38:46";="600100168";600100168;5;7;7;40983.12;40983.12;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";590780227;1;1;1;3576.8033444;3576.8033444;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";590780227;1;1;2;3598.4154492;21.6121048;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";590780227;1;1;3;3620.027554;21.6121048;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";590780227;1;1;4;0;-3620.027554;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";590780227;1;1;5;3620.027554;3620.027554;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";590780227;1;1;6;3641.6396588;21.6121048;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:57";="590780227";590780227;1;1;7;3641.6396588;0;2023.7;X590780227;10AUG23;13:22:39
