"champ";"statut";"annee";"periode";"date du resultat";"ipe";type_test;code;code_c;nbtot;i;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 10:48:49";="590780052";1;INF-I;INF;209;2;2023.7;X590780052;30AUG23;10:48:47
"mco";"dgf";"2023";"7";"2023/08/30 10:48:49";="590780052";2;INF-I;INF;8;2;2023.7;X590780052;30AUG23;10:48:47
"mco";"dgf";"2023";"7";"2023/08/30 14:02:31";="590782165";1;INF-I;INF;2156;2;2023.7;X590782165;30AUG23;14:02:30
"mco";"dgf";"2023";"7";"2023/08/30 14:02:31";="590782165";1;INF-IF;INF;412;2;2023.7;X590782165;30AUG23;14:02:30
"mco";"dgf";"2023";"7";"2023/08/30 14:02:31";="590782165";1;INF-IN;INF;764;2;2023.7;X590782165;30AUG23;14:02:30
"mco";"dgf";"2023";"7";"2023/08/30 14:02:31";="590782165";1;MED-I;MED;6;2;2023.7;X590782165;30AUG23;14:02:30
"mco";"dgf";"2023";"7";"2023/08/30 14:02:31";="590782165";1;MED-IF;MED;2;2;2023.7;X590782165;30AUG23;14:02:30
"mco";"dgf";"2023";"7";"2023/08/30 14:02:31";="590782165";1;MED-IN;MED;6;2;2023.7;X590782165;30AUG23;14:02:30
"mco";"dgf";"2023";"7";"2023/08/30 14:02:31";="590782165";2;INF-I;INF;5;2;2023.7;X590782165;30AUG23;14:02:30
"mco";"dgf";"2023";"7";"2023/08/30 14:02:31";="590782165";2;INF-IN;INF;2;2;2023.7;X590782165;30AUG23;14:02:30
"mco";"dgf";"2023";"7";"2023/08/30 14:02:31";="590782165";2;MED-I;MED;1;2;2023.7;X590782165;30AUG23;14:02:30
"mco";"dgf";"2023";"7";"2023/08/30 14:48:59";="590781662";1;INF-I;INF;1039;2;2023.7;X590781662;30AUG23;14:48:57
"mco";"dgf";"2023";"7";"2023/08/30 14:48:59";="590781662";1;INF-IF;INF;119;2;2023.7;X590781662;30AUG23;14:48:57
"mco";"dgf";"2023";"7";"2023/08/30 14:48:59";="590781662";1;PCR;PCR;1039;2;2023.7;X590781662;30AUG23;14:48:57
"mco";"dgf";"2023";"7";"2023/08/30 14:48:59";="590781662";1;PCR-F;PCR;119;2;2023.7;X590781662;30AUG23;14:48:57
"mco";"dgf";"2023";"7";"2023/08/30 14:48:59";="590781662";1;PRA;PRA;1158;2;2023.7;X590781662;30AUG23;14:48:57
"mco";"dgf";"2023";"7";"2023/08/30 15:03:46";="590781621";1;INF-I;INF;37;2;2023.7;X590781621;30AUG23;15:03:45
"mco";"dgf";"2023";"7";"2023/08/30 15:03:46";="590781621";1;INF-IF;INF;7;2;2023.7;X590781621;30AUG23;15:03:45
"mco";"dgf";"2023";"7";"2023/08/30 15:03:46";="590781621";1;INF-IN;INF;8;2;2023.7;X590781621;30AUG23;15:03:45
"mco";"dgf";"2023";"7";"2023/08/30 15:03:46";="590781621";1;PCR;PCR;37;2;2023.7;X590781621;30AUG23;15:03:45
"mco";"dgf";"2023";"7";"2023/08/30 15:03:46";="590781621";1;PCR-F;PCR;7;2;2023.7;X590781621;30AUG23;15:03:45
"mco";"dgf";"2023";"7";"2023/08/30 15:03:46";="590781621";1;PCR-N;PCR;8;2;2023.7;X590781621;30AUG23;15:03:45
"mco";"dgf";"2023";"7";"2023/08/30 16:00:02";="590782215";1;INF-I;INF;15922;2;2023.7;X590782215;30AUG23;16:00:01
"mco";"dgf";"2023";"7";"2023/08/30 16:00:02";="590782215";1;INF-IF;INF;1069;2;2023.7;X590782215;30AUG23;16:00:01
"mco";"dgf";"2023";"7";"2023/08/30 16:00:02";="590782215";1;INF-IN;INF;3861;2;2023.7;X590782215;30AUG23;16:00:01
"mco";"dgf";"2023";"7";"2023/08/30 17:56:41";="620100685";1;INF-I;INF;5219;2;2023.7;X620100685;30AUG23;17:56:40
"mco";"dgf";"2023";"7";"2023/08/30 17:56:41";="620100685";1;INF-IF;INF;887;2;2023.7;X620100685;30AUG23;17:56:40
"mco";"dgf";"2023";"7";"2023/08/30 17:56:41";="620100685";1;INF-IN;INF;3074;2;2023.7;X620100685;30AUG23;17:56:40
"mco";"dgf";"2023";"7";"2023/08/30 17:56:41";="620100685";1;PCR;PCR;5466;2;2023.7;X620100685;30AUG23;17:56:40
"mco";"dgf";"2023";"7";"2023/08/30 17:56:41";="620100685";1;PCR-F;PCR;891;2;2023.7;X620100685;30AUG23;17:56:40
"mco";"dgf";"2023";"7";"2023/08/30 17:56:41";="620100685";1;PCR-N;PCR;3075;2;2023.7;X620100685;30AUG23;17:56:40
"mco";"dgf";"2023";"7";"2023/08/30 17:56:41";="620100685";1;PRA;PRA;9180;2;2023.7;X620100685;30AUG23;17:56:40
"mco";"dgf";"2023";"7";"2023/08/30 17:56:41";="620100685";2;ADB;ADB;2527;2;2023.7;X620100685;30AUG23;17:56:40
"mco";"dgf";"2023";"7";"2023/08/30 17:56:41";="620100685";2;INF-I;INF;1382;2;2023.7;X620100685;30AUG23;17:56:40
"mco";"dgf";"2023";"7";"2023/08/30 17:56:41";="620100685";2;INF-IF;INF;241;2;2023.7;X620100685;30AUG23;17:56:40
"mco";"dgf";"2023";"7";"2023/08/30 17:56:41";="620100685";2;INF-IN;INF;904;2;2023.7;X620100685;30AUG23;17:56:40
"mco";"dgf";"2023";"7";"2023/08/31 10:47:07";="020000071";1;INF-I;INF;5;2;2023.7;X020000071;31AUG23;10:47:06
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";1;INF-C;INF;0;2;2023.7;X800000085;31AUG23;11:15:58
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";1;INF-CF;INF;0;2;2023.7;X800000085;31AUG23;11:15:58
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";1;INF-CN;INF;0;2;2023.7;X800000085;31AUG23;11:15:58
"mco";"dgf";"2023";"7";"2023/08/31 11:16:00";="800000085";1;INF-I;INF;1164;2;2023.7;X800000085;31AUG23;11:15:58
