"champ";"statut";"annee";"periode";"date du resultat";"ipe";diag;nbame;nbsu;nbcmuc;eff;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:21:18";="620003350";Z6030;1;0;1;7;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:20";="590000600";Z5910;0;0;0;2;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:20";="590000600";Z5918;0;0;1;1;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";Z590;0;0;6;9;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";Z5910;0;0;3;3;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";Z5918;0;0;0;1;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:24:55";="620025346";Z6020;0;0;42;310;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z5500;0;0;1;3;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z5508;0;0;0;3;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z590;0;0;2;7;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z5910;0;0;0;7;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z5911;0;0;0;1;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z5912;0;0;1;15;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z5918;0;0;1;3;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z5958;0;0;0;1;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z5960;0;0;1;4;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z5962;0;0;0;3;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z5968;0;0;1;6;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z5970;0;0;1;4;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z5978;0;0;1;3;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z6020;0;0;3;341;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z6028;0;0;0;8;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z6030;0;0;1;13;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:27";="590001749";Z6038;0;0;0;1;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:38";="590781670";Z5910;0;0;0;2;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:38";="590781670";Z5912;0;0;0;2;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:38";="590781670";Z5968;0;0;0;1;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:38";="590781670";Z5978;0;0;0;7;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:38";="590781670";Z6020;0;0;0;92;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:38";="590781670";Z6030;0;0;0;8;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:50:47";="020000261";Z5500;0;0;1;1;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:47";="020000261";Z551;0;0;0;1;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:47";="020000261";Z590;0;0;1;6;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:47";="020000261";Z5910;0;0;0;7;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:47";="020000261";Z5911;0;0;0;1;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:47";="020000261";Z5912;0;0;0;1;2023.7;X020000261;29AUG23;14:50:19
