"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;nb;mnt_br;mnt_tot_am;taux_app;mtm;mnt_fj;mpf;rac;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06C041;1939;1;6716.863335;6540.6162199;99.4;1236.32;77.6;11.61;1325.53;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06C141;1978;1;1439.944272;1282.6887974;93.25;346.09;40.8;9.86;396.75;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06C14J;5356;1;724.04003;644.02287311;90.36;180.65;0;5.64;186.29;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06C251;2020;2;4211.26368;4004.2341619;99.29;996.46;115.2;32.66;1144.32;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06C252;2021;1;4116.786882;3896.6991515;99.42;1159.85;155.2;12.36;1327.41;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06K05J;2122;14;9748.16107;8994.2736286;93.528571429;3162.04;0;58.62;3220.66;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M031;2129;6;10716.154425;9494.1662238;92.115;3761.13;289.6;18.09;4068.82;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M032;2130;3;10084.582732;9182.4584312;94.066666667;3040.85;233.6;4.28;3278.73;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M033;2131;2;11950.262532;10660.39927;96.59;3323.14;799;2.56;4124.7;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M03T;2133;1;778.957491;693.51005747;94.13;214.12;29.6;4.99;248.71;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M04T;2199;1;887.616834;817.33155073;93.02;216.64;0;2.55;219.19;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M04T;5373;1;477.89664;411.30072907;92.34;209.68;26.4;0.5;236.58;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M051;2138;1;1488.345339;1396.2402251;98.49;605.14;54;5.37;664.51;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M052;2139;1;5141.788977;4844.8228481;97.35;1259.06;121.8;3.87;1384.73;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M061;2143;1;1704.302717;1506.7421151;90.96;713.63;31.8;0.84;746.27;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M072;2149;1;4256.206812;3964.9113617;95.79;1290.88;80;3.57;1374.45;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M091;2158;8;17074.771857;15829.661721;95.68;5694.24;360;33.12;6087.36;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M092;2159;2;7156.731672;6479.6454284;95.19;2292.24;280.8;4.36;2577.4;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M09T;2162;2;2463.019595;2229.7522772;93.04;476.18;39.8;6;521.98;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M09T;5378;3;1277.752086;1096.3465714;88.11;581.01;19.2;2.4;602.61;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M18Z;2189;1;2221.437582;2005.3924488;92.95;647.21;43.8;1.18;692.19;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M191;2190;1;2043.058251;1718.2807007;85.13;877.58;8.4;0.4;886.38;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M192;2191;1;3731.021658;3189.6549022;88.59;1294.09;92;0.52;1386.61;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:23";="590780193";06M202;2195;1;3039.866696;2895.8086683;99.36;703.07;97;6.46;806.53;2023.7;X590780193;31AUG23;11:45:29
