"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;nbj;nb0j;nb;nbame;nbsu;nbcmuc;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";23M20T;0;9;9;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";23Z02Z;31;0;2;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:09";="600100168";28Z17Z;0;24;24;0;0;0;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";01M073;19;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";01M123;10;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";01M201;0;1;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";01M203;11;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";01M214;21;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";01M283;13;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";01M34Z;5;0;2;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";02M073;7;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";02M082;8;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M033;11;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M052;31;0;3;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M053;97;0;8;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M054;15;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M05T;0;2;2;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M072;31;0;2;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M073;116;0;8;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M074;42;0;2;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M093;18;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M102;6;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M104;13;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M13T;0;1;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M174;14;0;2;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M203;18;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M20T;0;1;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M24E;1;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";04M253;17;0;2;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";05M053;10;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";05M061;1;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";05M06T;0;2;2;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";05M084;11;0;1;0;0;0;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:57";="020000022";05M092;36;0;3;0;0;0;2023.7;X020000022;18AUG23;15:14:25
