"champ";"statut";"annee";"periode";"date du resultat";"ipe";mode;ponder;pct_ponder;ponder_cn;dms;age_moy;age_med;pct_homme;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";8;83;50.920245399;83;8.5542168675;82.518072289;86;28.915662651;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";87;16;9.8159509202;16;11.875;88.4375;89.5;6.25;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:26";="620003350";9;7;4.2944785276;7;4;85.142857143;85;28.571428571;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:26";="590000600";62;7;23.333333333;7;17.285714286;80.857142857;85;42.857142857;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:26";="590000600";8;11;36.666666667;11;11.363636364;83.727272727;84;36.363636364;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:26";="590000600";87;8;26.666666667;8;16.25;81.125;82.5;25;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:26";="590000600";9;4;13.333333333;4;22;86.75;86.5;25;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";62;10;6.1728395062;10;15.3;80.3;81;50;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";71;14;8.6419753086;14;1;72.428571429;71.5;35.714285714;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";72;15;9.2592592593;15;15.933333333;87.533333333;90;40;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";8;101;62.345679012;101;7.4752475248;71.900990099;76;41.584158416;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";87;9;5.5555555556;9;16.888888889;87.888888889;87;0;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:01";="620025346";9;13;8.024691358;13;12.461538462;85.461538462;85;69.230769231;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:33";="590001749";62;5;12.5;5;20;90.8;92;20;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:33";="590001749";71;1;2.5;1;0;84;84;100;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:33";="590001749";72;2;5;2;5.5;52;52;100;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:33";="590001749";73;1;2.5;1;11;69;69;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:33";="590001749";8;25;62.5;25;11.92;78.72;84;48;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:33";="590001749";9;6;15;6;9.6666666667;90.166666667;92;50;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";62;14;21.212121212;14;16;84.642857143;86.5;35.714285714;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";71;3;4.5454545455;3;5.3333333333;70.666666667;76;100;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";72;2;3.0303030303;2;27;80.5;80.5;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";76;1;1.5151515152;1;4;88;88;100;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";8;34;51.515151515;34;11.029411765;78.029411765;82.5;64.705882353;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";87;8;12.121212121;8;11.5;83.75;87;25;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";9;4;6.0606060606;4;9.5;83.75;86.5;0;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";62;21;10.9375;21;27.952380952;79.380952381;81;66.666666667;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";71;7;3.6458333333;7;12.714285714;80.142857143;77;28.571428571;2023.7;X020000261;29AUG23;14:50:19
