"champ";"statut";"annee";"periode";"date du resultat";"ipe";code_aff;mnt_tot;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9146716;0.01;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9148394;8.58;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9149809;16.46;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9152295;7.32;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9152349;18.18;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9152869;16.25;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9154265;10.2;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9155508;6.12;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9158091;13.52;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9159162;1.65;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9169315;22.49;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9172530;38.46;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9172659;25.3;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9173498;25.31;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9174486;4.18;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9176640;14.48;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9177556;6.76;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9177763;35.04;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9181517;10.71;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9181747;3.23;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9183605;6.96;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9192403;32.8;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9192521;4.96;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9195436;2.74;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9197116;7.84;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9198311;21.07;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9199500;31.57;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9199612;58.83;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9201705;44.95;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9202389;2.68;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9202805;0.6;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9206128;66.24;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9206157;1.84;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9206536;46.05;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9207056;14.92;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9207079;32.67;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9209196;55.22;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9210727;2.26;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9211655;30.69;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9212241;3.62;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9216581;163.29;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9220364;23.08;2023.7;X620100057;22AUG23;9:33:11
"mco";"dgf";"2023";"7";"2023/08/22 09:33:12";="620100057";9222848;85.07;2023.7;X620100057;22AUG23;9:33:11
