"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;code1;dep22a;nb22a;dep22_vala;dep22b;nb22b;dep22_valb;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8134295;8134295;580.64;21;583.585;580.64;21;583.585;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8134303;8134303;35565.187;216;35742.9935;35565.187;216;35742.9935;-7.27596E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8134332;8134332;823.15;5;827.275;823.15;5;827.275;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8134450;8134450;92557.07;2425;41564.5;92557.07;2425;41564.5;-1.45519E-11;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8134527;8134527;9956.32;312;12346.04;9956.32;312;12346.04;3.637979E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8134556;8134556;196.972;1;206.841;196.972;1;206.841;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8134562;8134562;1559.808;6;1675.014;1559.808;6;1675.014;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8134846;8134846;2817.3;10;2317.1;2817.3;10;2317.1;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8135018;8135018;264.06;9;275.4;264.06;9;275.4;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8135165;8135165;27342.281;45;27516.0655;27342.281;45;27516.0655;3.637979E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8135194;8135194;20507.31;27;20821.32;20507.31;27;20821.32;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8135219;8135219;662.22;21;665.64;662.22;21;665.64;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8135389;8135389;2718.06;6;2731.65;2718.06;6;2731.65;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8135509;8135509;83.23;3;83.51;83.23;3;83.51;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8136420;8136420;1738.82;2;1747.52;1738.82;2;1747.52;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8136450;8136450;15649.38;18;15727.68;15649.38;18;15727.68;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8136590;8136590;3217.214;11;3332.967;3217.214;11;3332.967;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8136851;8136851;2948.88;9;2963.625;2948.88;9;2963.625;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8138494;8138494;4830.54;11;4854.685;4830.54;11;4854.685;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8138502;8138502;2747.58;11;2761.33;2747.58;11;2761.33;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8139364;8139364;93.46;2;93.93;93.46;2;93.93;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8139447;8139447;3787.37;13;3823.34;3787.37;13;3823.34;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8139460;8139460;71141.323;70;71706.7615;71141.323;70;71706.7615;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8139789;8139789;774.32;6;778.21;774.32;6;778.21;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8139795;8139795;6024.516;191;6054.888;6024.516;191;6054.888;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8139810;8139810;17409.28;67;17496.38;17409.28;67;17496.38;-3.63798E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8139849;8139849;11085.85;20;17182.725;11085.85;20;17182.725;-3.63798E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8139855;8139855;8348.353;54;8417.2265;8348.353;54;8417.2265;1.818989E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8139890;8139890;2286.02;9;2173.14;2286.02;9;2173.14;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8139915;8139915;23791.17;53;23910.155;23791.17;53;23910.155;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:37";="590780193";8139973;8139973;504.24;3;506.76;504.24;3;506.76;0;2023.7;X590780193;05SEP23;14:08:27
