"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;ghm_m;ghm_b;ponder_b;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z13A;15M06A;7;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z13A;15M06B;4;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z13B;15M02Z;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z13B;15M05A;29;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z13B;15M05B;3;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z13B;15M06A;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z13B;15M06B;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z13C;15M05A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z13C;15M05B;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z14A;15M05A;358;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z14A;15M05B;49;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z14A;15M05C;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z14A;15M06A;11;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z14A;15M06B;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z14A;15M07A;1;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z14B;15M05A;29;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:40";="620101337";2;14Z14B;15M05B;1;2023.7;X620101337;25AUG23;12:05:23
