"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois;semaine;ponder;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 14:25:56";="590781605";99;;8;11.625;78.875;81;37.5;0;12.5;0;9999;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:22";="590781811";99;;;;;0;;;;;9999;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:33:58";="800000093";1;;1;1;86;86;100;0;0;0;2023;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:58";="800000093";2;;1;0;93;93;0;0;0;0;2023;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:58";="800000093";3;;1;1;42;42;0;0;0;0;2023;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:33:58";="800000093";99;;3;0.6666666667;73.666666667;86;33.333333333;0;0;0;9999;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:53:01";="600100713";1;;1;15;54;54;100;0;100;0;2023;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:01";="600100713";2;;2;39.5;65;65;50;50;0;0;2023;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:01";="600100713";4;;3;4.3333333333;68;69;33.333333333;0;0;0;2023;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:01";="600100713";5;;1;8;45;45;0;0;0;0;2023;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:01";="600100713";99;;7;16.428571429;61.857142857;60;42.857142857;14.285714286;14.285714286;0;9999;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:59:44";="020000048";99;;;;;0;;;;;9999;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:43:29";="590782215";1;;1;31;63;63;100;0;0;0;2023;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:29";="590782215";2;;2;7.5;63.5;63.5;100;0;0;0;2023;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:29";="590782215";3;;1;0;41;41;100;0;0;0;2023;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:29";="590782215";4;;1;9;85;85;100;0;0;0;2023;2023.7;X590782215;31AUG23;15:42:07
