"champ";"statut";"annee";"periode";"date du resultat";"ipe";tum1;eff;nbchir;chirurg0;nbmutrf;nbdom;nbdc;nb0j;nbj;agem;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";HP;341;0;0;0;341;0;340;2;52.938416422;1;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";ZAUM;340;0;0;111;207;22;8;3511;68.879411765;1;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";tot;681;0;0;111;548;22;348;3513;60.897209985;1;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";HP;341;0;0;0;341;0;340;2;52.938416422;2;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";ZAUM;340;0;0;111;207;22;8;3511;68.879411765;2;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";tot;681;0;0;111;548;22;348;3513;60.897209985;2;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";HP;4;0;0;0;4;0;4;0;80.75;1;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";ZAUM;340;0;0;120;193;27;3;4142;83.891176471;1;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";tot;344;0;0;120;197;27;7;4142;83.854651163;1;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";HP;4;0;0;0;4;0;4;0;80.75;2;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";ZAUM;330;0;0;113;190;27;3;4132;84.248484848;2;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";tot;334;0;0;113;194;27;7;4132;84.206586826;2;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";HP;8;0;0;0;8;0;8;0;81.75;1;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";ZAUM;248;0;0;123;100;25;0;3242;82.197580645;1;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";tot;256;0;0;123;108;25;8;3242;82.18359375;1;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";HP;8;0;0;0;8;0;8;0;81.75;2;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";ZAUM;248;0;0;123;100;25;0;3242;82.197580645;2;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";tot;256;0;0;123;108;25;8;3242;82.18359375;2;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";ZAUM;2126;0;0;590;1467;69;1217;7689;60.949057333;1;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";tot;2126;0;0;590;1467;69;1217;7689;60.949057333;1;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";ZAUM;2125;0;0;589;1467;69;1217;7688;60.966915713;2;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";tot;2125;0;0;589;1467;69;1217;7688;60.966915713;2;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/29 09:24:16";="020000055";ZAUM;262;0;0;139;101;22;1;2735;78.08778626;1;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:16";="020000055";tot;262;0;0;139;101;22;1;2735;78.08778626;1;2023.7;X020000055;29AUG23;9:24:09
"mco";"dgf";"2023";"7";"2023/08/29 09:24:16";="020000055";ZAUM;262;0;0;139;101;22;1;2735;78.08778626;2;2023.7;X020000055;29AUG23;9:24:09
