"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;ghs;eff;nbj;nb0j;mnt_ghs_am;mnt_exinf_am;mnt_ghs50_am;mnt_exh_am;mnt_9615_am;mnt_rdth_am;mnt_rea_am;mnt_rep_am;mnt_si_am;mnt_sc_am;mnt_suppdia_am;mnt_nn1_am;mnt_nn2_am;mnt_nn3_am;mnt_caisson_am;mnt_ant_am;mnt_rap_am;mnt_fjs_ame;mnt_tjp20_ame;mnt_sdc_am;mnt_ctc_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:41:05";="590001749";06M12T;2200;1;1;0;549.72015406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;176;0;0;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";01C15J;83;1;0;1;878.6803272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252.542;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";01M111;233;1;5;0;1735.2048376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1112.67;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";01M16T;335;1;2;0;692.2107056;0;0;0;0;0;0;0;716.4822176;0;0;0;0;0;0;0;0;20;739.628;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";03C111;647;1;1;0;928.645672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;288.418;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";03C27J;713;1;0;1;849.0443208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252.542;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";04M073;1153;1;12;0;5180.806304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2587.38;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";04M131;1180;1;2;0;1267.9977024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;455.452;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";04M152;1191;1;3;0;2668.4805208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;667.602;0;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:13";="020000261";05M151;1780;1;4;0;1334.9652016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;890.136;0;0;2023.7;X020000261;29AUG23;14:50:19
