"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;dp;eff_sej;eff_mon;dep;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";TECENTRIQ;C34;8;8;27913.68;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";TECENTRIQ;C67;6;6;20774.64;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";TORISEL;C64;4;4;2911.08;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";TRAZIMERA;C50;11;47;1768.36;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";VECTIBIX;C18;4;7;5373.72;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";VORICONAZOLE;D70;1;61;383.03;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";VORICONAZOLE;J44;1;57;357.91;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";VORICONAZOLE;R57;1;14;87.91;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:24";="020000253";VORICONAZOLE;H60;1;4;25.12;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";CLOTTAFACT;K56;1;3;2076.78;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";CLOTTAFACT;C18;1;2;1384.52;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";CLOTTAFACT;Z43;1;2;1356.06;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";CLOTTAFACT;M51;1;1;692.26;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";CLOTTAFACT;S36;1;1;692.26;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";CONFIDEX;R55;1;9;1102.68;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";CONFIDEX;D64;1;7;929.11;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";CONFIDEX;K62;1;4;490.08;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";CONFIDEX;S30;1;4;530.92;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";CONFIDEX;J93;1;3;398.19;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";CONFIDEX;K44;1;1;122.52;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ENTYVIO;K51;157;157;182289.56;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ENTYVIO;K50;64;64;74309.12;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ENTYVIO;Z51;13;13;15094.04;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ICATIBANT;K14;1;1;203.18;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";INFLECTRA;K50;14;73;6334.94;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ORENCIA;M05;31;88;22775.28;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ORENCIA;M06;3;9;2329.29;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ORENCIA;Z51;1;3;776.43;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ORENCIA;M45;1;2;517.62;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";REMICADE;K50;65;391;39522.28;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";REMICADE;K51;28;189;19104.12;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";REMICADE;M45;41;183;18497.64;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";REMICADE;M05;26;80;8086.4;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";REMICADE;M07;8;30;3032.4;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";REMICADE;L40;4;14;1415.12;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";REMICADE;M06;1;5;505.4;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:44";="620003376";ROACTEMRA;M05;42;76;34190.8;2023.7;X620003376;25AUG23;10:37:19
