"champ";"statut";"annee";"periode";"date du resultat";"ipe";racine;ghm;ghs;majo;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";08C62;08C623;2954;;4;66.666666667;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";08C62;08C62J;2956;;1;16.666666667;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C18;09C183;3427;***;1;100;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C19;09C191;3431;;9;60;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C19;09C191;3435;***;5;33.333333333;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C19;09C192;3432;;1;6.6666666667;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C20;09C201;3441;;1;3.5714285714;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C20;09C201;3446;***;2;7.1428571429;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C20;09C201;3586;***;3;10.714285714;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C20;09C20J;3440;;6;21.428571429;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C20;09C20J;3445;***;4;14.285714286;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C20;09C20J;3585;***;7;25;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C20;09C20J;3590;***;5;17.857142857;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C22;09C221;3461;;2;8.3333333333;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C22;09C223;3598;***;1;4.1666666667;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:36";="620101337";09C22;09C22J;3460;;13;54.166666667;2023.7;X620101337;25AUG23;12:05:23
