"champ";"statut";"annee";"periode";"date du resultat";"ipe";racine;ghm;ghs;majo_;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";23M20;23M20T;7989;Plein;3;100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";01M11;01M11T;237;Plein;3;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";01M12;01M12T;242;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";01M16;01M16T;335;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";01M22;01M22T;280;Plein;2;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";01M32;01M32Z;324;Plein;4;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";01M34;01M34T;338;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";01M35;01M35T;339;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";02M09;02M09Z;534;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";03M05;03M05T;877;Plein;6;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";03M09;03M09T;855;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";04M03;04M03T;1238;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";04M05;04M05T;1239;Plein;3;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";04M07;04M07T;1155;Plein;2;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";04M10;04M10T;1170;Plein;3;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";04M11;04M111;1171;Plein;6;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";04M15;04M15T;1194;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";04M20;04M20T;1218;Plein;4;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";04M22;04M22Z;1223;Plein;60;92.307692308;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";04M22;04M22Z;1253;Intermédiaire;5;7.6923076923;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M05;05M05T;1813;Plein;4;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M06;05M06T;1742;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M08;05M08T;1752;Plein;12;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M09;05M09T;1757;Plein;2;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M13;05M13T;1815;Plein;90;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M15;05M15T;1784;Plein;2;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M20;05M20Z;1803;Plein;179;96.23655914;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M20;05M20Z;1868;Intermédiaire;7;3.7634408602;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";05M23;05M23T;1806;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";06M02;06M02T;2128;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";06M03;06M03T;2133;Plein;6;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";06M06;06M06T;2147;Plein;2;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";06M09;06M09T;2162;Plein;1;100;2023.7;X590782439;22AUG23;19:09:40
"mco";"dgf";"2023";"7";"2023/08/22 19:09:49";="590782439";06M12;06M12T;2200;Plein;41;100;2023.7;X590782439;22AUG23;19:09:40
