"champ";"statut";"annee";"periode";"date du resultat";"ipe";nb;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:32:40";="620003350";0;Factures avec code PII ou PME sans APE;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:40";="620003350";0;Factures avec PH8 sans APE;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:32:40";="620003350";0;Factures avec code PII ou PME  et code PH8;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:46:24";="590781670";0;Factures avec APE sans code PI,PME, PH8;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:24";="590781670";0;Factures avec code PII ou PME sans APE;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:24";="590781670";0;Factures avec PH8 sans APE;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:24";="590781670";0;Factures avec code PII ou PME  et code PH8;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 15:41:12";="590001749";0;Factures avec APE sans code PI,PME, PH8;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:41:12";="590001749";0;Factures avec code PII ou PME sans APE;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:41:12";="590001749";0;Factures avec PH8 sans APE;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:41:12";="590001749";0;Factures avec code PII ou PME  et code PH8;2023.7;X590001749;29AUG23;15:40:58
"mco";"dgf";"2023";"7";"2023/08/29 15:58:10";="620025346";0;Factures avec APE sans code PI,PME, PH8;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 15:58:10";="620025346";0;Factures avec code PII ou PME sans APE;2023.7;X620025346;29AUG23;15:57:59
"mco";"dgf";"2023";"7";"2023/08/29 15:58:10";="620025346";0;Factures avec PH8 sans APE;2023.7;X620025346;29AUG23;15:57:59
