"champ";"statut";"annee";"periode";"date du resultat";"ipe";date_fin;finessg;um;typ_um;mode_hospit;dateeffet;nblits_g;nbsupth;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0019;29;M;01/10/2015;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0020;29;P;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0022;29;P;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0023;29;M;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0024;29;M;01/01/2009;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0027;29;M;01/01/2005;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";01/01/2019;620000323;0030;29;M;01/01/2018;0;;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0039;29;C;01/06/2022;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0040;29;M;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0041;29;P;01/01/2005;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0051;29;P;01/06/2020;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0060;29;M;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0028;43;P;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0005;53;M;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0008;53;C;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0009;53;M;01/01/2012;0;0;2;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:06:53";="620101337";;620000323;0010;53;P;01/01/2019;0;0;2;2023.7;X620101337;25AUG23;12:05:23
