"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;nb_cont;mnt_br_cont;mnt_am_cont;nb_rh;mnt_br_rh;mnt_am_rh;nb_re;mnt_br_re;mnt_am_re;nb_pl;mnt_br_pl;mnt_am_pl;nb_inter;mnt_br_inter;mnt_am_inter;nb_uhcd;mnt_br_uhcd;mnt_am_uhcd;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";02M08T;1;640.239171;508.60599744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";03M03T;9;6546.105228;5347.930105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";03M07T;0;0;0;0;0;0;0;0;0;1;1512.129918;1201.2360069;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";03M09T;0;0;0;1;1033.010472;820.62351896;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";03M11T;0;0;0;1;888.45349;705.78745246;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";03M121;1;1948.120395;1547.5868418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";03M14Z;0;0;0;0;0;0;0;0;0;1;941.700942;935.10903541;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";04M02T;1;702.331656;557.93226753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";04M03T;1;687.247041;682.43631171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";04M05T;1;701.130286;696.222374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";04M111;1;1000.034802;915.87880776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";04M18T;1;968.362122;961.58358715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";04M22Z;0;0;0;0;0;0;0;0;0;2;1542.479562;1378.5139846;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";04M25T;3;3276.083379;2602.5206363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";05M05T;1;709.979205;564.00748045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";05M08T;2;1863.990423;1480.753992;0;0;0;0;0;0;1;1449.165432;1151.2170192;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";05M11T;0;0;0;0;0;0;0;0;0;1;710.450286;564.3817072;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";05M12T;1;800.659506;795.05488946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:23";="020000253";05M13T;1;717.255903;569.78808934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023.7;X020000253;24AUG23;14:38:01
