"champ";"statut";"annee";"periode";"date du resultat";"ipe";let_ghm;adnp_11;adnp_10;adnp_21;adnp_20;adnp_v1;adnp_v0;adnp_x1;adnp_x0;Total_Dans;Total_Hors;Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 14:11:20";="590782165";M;1;0;175;3;0;198;0;0;176;201;377;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:20";="590782165";Z;0;0;0;2;0;358;0;0;0;360;360;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:21";="620101360";C;0;0;130;0;0;1;0;0;130;1;131;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:21";="620101360";K;7;0;92;1;0;1;0;0;99;2;101;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:21";="620101360";M;14;0;172;2;1;76;0;0;187;78;265;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:21";="620101360";Z;0;0;25;9;0;481;0;0;25;490;515;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:55:58";="590781662";C;0;0;7;0;0;1;0;0;7;1;8;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:55:58";="590781662";K;0;0;1;0;0;0;0;0;1;0;1;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:55:58";="590781662";M;0;0;11;0;0;46;0;0;11;46;57;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:55:58";="590781662";Z;0;0;0;0;0;978;0;0;0;978;978;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:04:41";="590781621";C;0;0;0;0;0;1;0;0;0;1;1;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:41";="590781621";K;0;0;0;0;0;3;0;0;0;3;3;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:41";="590781621";M;2;0;10;67;0;178;0;0;12;245;257;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:04:41";="590781621";Z;0;0;0;1;0;6;0;0;0;7;7;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:19:30";="590052056";C;0;0;93;0;133;0;0;0;226;0;226;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:30";="590052056";K;3;0;113;0;124;0;0;0;240;0;240;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:30";="590052056";M;1;0;58;0;101;1;0;0;160;1;161;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:19:30";="590052056";Z;0;0;0;148;0;275;0;0;0;423;423;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 16:34:35";="590781795";M;0;0;0;0;38;1;0;0;38;1;39;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/30 16:34:35";="590781795";Z;0;0;0;0;1;2;0;0;1;2;3;2023.7;X590781795;30AUG23;16:33:32
"mco";"dgf";"2023";"7";"2023/08/31 09:36:58";="620100677";M;0;0;1;0;0;0;0;0;1;0;1;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:36:58";="620100677";Z;0;0;3;0;3;0;0;0;6;0;6;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:37:34";="590781415";C;21;0;444;0;22;0;0;0;487;0;487;2023.7;X590781415;31AUG23;10:37:00
