"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;PU;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 12:52:23";="590782421";SE2;65.14;187;12111.747274;11761.996283;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:23";="590782421";SE2;68.64;285;19470.45672;19019.561933;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:23";="590782421";SE3;43.41;40.5;1748.0838015;1661.7586755;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:23";="590782421";SE3;45.74;79.5;3619.239249;3400.7191434;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:23";="590782421";SE4;21.7;31;668.86561;625.71299;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:23";="590782421";SE4;22.87;61;1388.513171;1297.463127;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:23";="590782421";SE7;111;3;331.1019;331.1019;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:23";="590782421";SE7;116.96;17;1978.974896;1885.8466656;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE1;81.41;115;9308.785745;8564.0828854;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE1;85.78;264;22539.484176;20797.796762;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE2;65.14;281;18200.005262;17254.382213;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE2;68.64;809;55268.770128;52945.9788;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE3;43.41;19;820.088697;742.3960836;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE3;45.74;46;2094.151012;1930.2609328;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE4;21.7;25;539.40775;513.516178;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE4;22.87;86;1957.575946;1884.7359108;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE5;142.69;39;5533.190013;5050.8093452;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE5;150.36;91;13618.451028;12423.888393;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE6;293.96;42;12275.945976;11516.006463;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE6;309.75;85;26205.004875;24848.510505;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE7;111;4.5;496.65285;452.50593;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 14:31:14";="020000063";SE7;116.96;16;1862.564608;1769.4363776;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 15:42:19";="020004495";SE2;65.14;1;64.768702;64.768702;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:19";="020004495";SE2;68.64;2;136.634784;136.634784;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:19";="020004495";SE3;43.41;3;129.487689;112.2226638;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:19";="020004495";SE3;45.74;6;273.150132;254.9401232;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:19";="020004495";SE4;21.7;13;280.49203;258.91572;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:19";="020004495";SE4;22.87;25;569.062775;496.2227398;0;0;0;2023.7;X020004495;28AUG23;15:42:08
