"champ";"statut";"annee";"periode";"date du resultat";"ipe";gdreg;gestion;comp;abs;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";01;10;0110;;4109;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";01;11;0111;;2883;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";01;12;0112;;427;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";01;18;0118;;295;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";01;23;0123;;83;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";01;29;0129;;474;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";01;34;0134;;5;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";01;89;0189;;918;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";01;90;0190;;40;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";02;A1;02A1;;37;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";02;A2;02A2;;15;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";04;04;0404;;11;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";04;11;0411;;2;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";05;10;0510;***;1;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";07;M2;07M2;;2;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:50";="590782439";08;08;0808;;4;2023.7;X590782439;22AUG23;17:50:43
