"champ";"statut";"annee";"periode";"date du resultat";"ipe";datedeb;typ_um;nblits;date_fin;nbj;nbsupp;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 09:37:30";="620100677";01/01/2023;02;0;;212;0;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 09:37:30";="620100677";01/01/2023;03;0;;212;0;2023.7;X620100677;31AUG23;9:36:32
"mco";"dgf";"2023";"7";"2023/08/31 10:38:31";="590781415";01/01/2023;02;27;;212;5724;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:38:31";="590781415";01/01/2023;03;12;;212;2544;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 10:39:36";="620103440";01/01/2023;02;22;;212;4664;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:39:36";="620103440";01/01/2023;03;10;;212;2120;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 11:14:28";="800000085";01/01/2023;02;0;;212;0;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:14:28";="800000085";01/01/2023;03;0;;212;0;2023.7;X800000085;31AUG23;11:13:08
"mco";"dgf";"2023";"7";"2023/08/31 11:51:02";="590780193";01/01/2023;02;140;;212;29680;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:02";="590780193";01/01/2023;03;121;;212;25652;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 12:26:11";="020004404";01/01/2023;02;4;;212;848;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:26:11";="020004404";01/01/2023;03;4;;212;848;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:26:27";="590781605";01/01/2023;02;6;;212;1272;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:26:27";="590781605";01/01/2023;03;10;;212;2120;2023.7;X590781605;31AUG23;14:25:07
"mco";"dgf";"2023";"7";"2023/08/31 14:29:41";="590781811";01/01/2023;02;0;;212;0;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:29:41";="590781811";01/01/2023;03;0;;212;0;2023.7;X590781811;31AUG23;14:28:53
"mco";"dgf";"2023";"7";"2023/08/31 14:34:26";="800000093";01/01/2023;02;0;;212;0;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:34:26";="800000093";01/01/2023;03;4;;212;848;2023.7;X800000093;31AUG23;14:33:22
"mco";"dgf";"2023";"7";"2023/08/31 14:53:50";="600100713";01/01/2023;02;14;;212;2968;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:50";="600100713";01/01/2023;03;6;;212;1272;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 15:00:07";="020000048";01/01/2023;02;0;;212;0;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:00:07";="020000048";01/01/2023;03;0;;212;0;2023.7;X020000048;31AUG23;14:59:10
"mco";"dgf";"2023";"7";"2023/08/31 15:44:15";="590782215";01/01/2023;02;41;;212;8692;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:44:15";="590782215";01/01/2023;03;24;;212;5088;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:59:47";="620100685";01/01/2023;02;27;;212;5724;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 16:59:47";="620100685";01/01/2023;03;18;;212;3816;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:54:21";="800000069";01/01/2023;02;0;;212;0;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/08/31 18:54:21";="800000069";01/01/2023;03;6;;212;1272;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:07:14";="020000071";01/01/2023;02;0;;212;0;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:07:14";="020000071";01/01/2023;03;0;;212;0;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:19:31";="600100721";01/01/2023;02;14;;212;2968;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:31";="600100721";01/01/2023;03;5;;212;1060;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:16:27";="620100057";01/01/2023;02;13;;212;2756;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:27";="620100057";01/01/2023;03;18;;212;3816;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:23:06";="600101984";01/01/2023;02;12;;212;2544;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:06";="600101984";01/01/2023;03;12;;212;2544;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:08:37";="800000028";01/01/2023;02;7;;212;1484;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:37";="800000028";01/01/2023;03;0;;212;0;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:03:32";="590783239";01/01/2023;02;8;;212;1696;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:32";="590783239";01/01/2023;03;14;;212;2968;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:13:35";="590785374";01/01/2023;02;0;;212;0;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:13:35";="590785374";01/01/2023;03;6;;212;1272;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:56:42";="020000063";01/01/2023;02;18;;212;3816;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 16:56:42";="020000063";01/01/2023;03;6;;212;1272;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 18:27:55";="590000188";01/01/2023;02;0;;212;0;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/01 18:27:55";="590000188";01/01/2023;03;12;;212;2544;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/04 15:55:05";="620103432";01/01/2023;02;0;;212;0;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:55:05";="620103432";01/01/2023;03;6;;212;1272;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:24:29";="590782637";01/01/2023;02;0;;212;0;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 09:24:29";="590782637";01/01/2023;03;6;;212;1272;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:10:29";="590781803";01/01/2023;02;12;;212;2544;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:29";="590781803";01/01/2023;03;12;;212;2544;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:41:39";="590780227";01/01/2023;02;8;;212;1696;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:41:39";="590780227";01/01/2023;03;6;;212;1272;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:46:00";="800000044";01/01/2023;02;57;;212;12084;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:46:00";="800000044";01/01/2023;03;40;;212;8480;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:01:51";="590781902";01/01/2023;02;10;;212;2120;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:51";="590781902";01/01/2023;03;10;;212;2120;2023.7;X590781902;07SEP23;20:00:41
