"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghm;dstot0;dstot1;dstot2;dstots2;duree;pct0;pct1;pct2;pcts2;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";06C151;4;1;1;0;6;66.666666667;16.666666667;16.666666667;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";06C221;2;0;0;1;3;66.666666667;0;0;33.333333333;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";08C331;2;1;0;1;4;50;25;0;25;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";09C211;47;10;1;0;58;81.034482759;17.24137931;1.724137931;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";09C271;1;0;0;2;3;33.333333333;0;0;66.666666667;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";10C101;6;10;26;9;51;11.764705882;19.607843137;50.980392157;17.647058824;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";12C051;2;0;0;0;2;100;0;0;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";12C101;1;0;1;0;2;50;0;50;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";13C031;15;22;7;3;47;31.914893617;46.808510638;14.893617021;6.3829787234;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";13C051;4;2;1;3;10;40;20;10;30;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";13C141;9;10;7;7;33;27.272727273;30.303030303;21.212121212;21.212121212;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";13C151;31;28;3;3;65;47.692307692;43.076923077;4.6153846154;4.6153846154;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";19C021;2;0;0;0;2;100;0;0;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:29:09";="590782421";22C031;1;0;0;0;1;100;0;0;0;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 14:11:03";="590782165";06C151;1;1;1;1;4;25;25;25;25;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:03";="590782165";06C221;1;0;0;4;5;20;0;0;80;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:03";="590782165";08C331;4;1;0;0;5;80;20;0;0;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:03";="590782165";08C531;2;0;0;1;3;66.666666667;0;0;33.333333333;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:03";="590782165";09C271;2;0;0;0;2;100;0;0;0;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:03";="590782165";10C101;1;0;0;3;4;25;0;0;75;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:03";="590782165";11C031;1;0;0;0;1;100;0;0;0;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:11:03";="590782165";13C051;1;0;0;0;1;100;0;0;0;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:39:00";="620101360";06C091;1;5;13;24;43;2.3255813953;11.627906977;30.23255814;55.813953488;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:00";="620101360";06C151;2;0;0;2;4;50;0;0;50;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:00";="620101360";07C131;1;4;3;10;18;5.5555555556;22.222222222;16.666666667;55.555555556;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:00";="620101360";08C481;1;0;2;12;15;6.6666666667;0;13.333333333;80;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:00";="620101360";09C211;3;6;0;0;9;33.333333333;66.666666667;0;0;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:00";="620101360";12C101;1;0;0;0;1;100;0;0;0;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:39:00";="620101360";13C151;1;4;8;11;24;4.1666666667;16.666666667;33.333333333;45.833333333;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:55:39";="590781662";06C071;1;0;0;1;2;50;0;0;50;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:55:39";="590781662";07C131;1;0;0;0;1;100;0;0;0;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:55:39";="590781662";08C331;1;0;0;0;1;100;0;0;0;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:19:15";="590052056";03C261;2;1;0;1;4;50;25;0;25;2023.7;X590052056;30AUG23;15:19:03
