"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;nb;mnt;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:47:11";="590781670";Séjours valorisés;1099;3840873.0487;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:47:11";="590781670";Dont séjours en hospitalisation complète;753;3634432.3607;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:47:11";="590781670";Dont séjours sans nuitée;185;143134.74177;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:47:11";="590781670";Dont séjours séances;161;63305.946291;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:52:07";="020000261";Séjours valorisés;23440;36330238.342;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:07";="020000261";Dont séjours en hospitalisation complète;8172;28248602.865;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:07";="020000261";Dont séjours sans nuitée;3000;2983937.8098;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:52:07";="020000261";Dont séjours séances;12268;5097697.6668;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:46";="620100651";Séjours valorisés;28177;47667341.085;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:46";="620100651";Dont séjours en hospitalisation complète;11869;38567511.292;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:46";="620100651";Dont séjours sans nuitée;6567;5235355.834;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:46";="620100651";Dont séjours séances;9741;3864473.9587;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:41:05";="620027839";Séjours valorisés;22137;10703170.628;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:41:05";="620027839";Dont séjours en hospitalisation complète;0;0;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:41:05";="620027839";Dont séjours sans nuitée;19;90871.474036;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:41:05";="620027839";Dont séjours séances;22118;10612299.154;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:36:32";="590780284";Séjours valorisés;16320;48357459.677;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:32";="590780284";Dont séjours en hospitalisation complète;8189;41083796.919;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:32";="590780284";Dont séjours sans nuitée;7103;6862757.0484;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:32";="590780284";Dont séjours séances;1028;410905.71041;2023.7;X590780284;30AUG23;8:35:11
