"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;dmt;PU;nb;mnt_br;mnt_remb;nb_fides;mnt_br_fides;mnt_remb_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 16:30:22";="620103440";FTN;753;195.91;5892;1154301.72;1154282.1094;5840;1144114.4;1144094.7894;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:22";="620103440";FTR;035;55.66;2294.55;127714.653;127714.653;2115.65;117757.079;117757.079;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:22";="620103440";FTR;750;550;2604;1432200;1432199.78;2604;1432200;1432199.78;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 17:55:26";="600100721";FTN;035;0;2;0;0;2;0;0;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:26";="600100721";FTN;035;13.95;1852;25835.4;25835.373495;1852;25835.4;25835.373495;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:26";="600100721";FTN;035;69.77;1;69.77;69.77;1;69.77;69.77;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:26";="600100721";FTN;035;93.03;4461;415006.83;414932.21064;4461;415006.83;414932.21064;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:26";="600100721";FTR;035;7.16;22;157.52;157.52;22;157.52;157.52;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:26";="600100721";FTR;035;8.35;464;3874.4;3874.4;464;3874.4;3874.4;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:26";="600100721";FTR;035;47.74;65;3103.1;3103.1;65;3103.1;3103.1;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 17:55:26";="600100721";FTR;035;55.66;1167;64955.22;64888.428;1167;64955.22;64888.428;2023.7;X600100721;30AUG23;17:55:00
"mco";"dgf";"2023";"7";"2023/08/30 21:29:32";="590000188";FTN;035;93.03;3408.45;317088.1035;317087.90023;3405;316767.15;316766.94673;2023.7;X590000188;30AUG23;21:29:16
"mco";"dgf";"2023";"7";"2023/08/30 21:29:32";="590000188";FTN;750;1000;952;952000;952000;952;952000;952000;2023.7;X590000188;30AUG23;21:29:16
"mco";"dgf";"2023";"7";"2023/08/30 21:29:32";="590000188";FTN;753;166.05;869.15;144322.3575;144322.3575;869.15;144322.3575;144322.3575;2023.7;X590000188;30AUG23;21:29:16
"mco";"dgf";"2023";"7";"2023/08/30 21:29:32";="590000188";FTN;753;195.91;2236.6;438172.306;438171.93377;2235.6;437976.396;437976.02377;2023.7;X590000188;30AUG23;21:29:16
"mco";"dgf";"2023";"7";"2023/08/30 21:29:32";="590000188";FTR;035;55.66;31.85;1772.771;1772.771;31.85;1772.771;1772.771;2023.7;X590000188;30AUG23;21:29:16
