"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;pbnb;nb_min;se;se_ssact;act;act_ssse;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 09:15:24";="020000055";SE3;0;0;0;0;0;0;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:24";="020000055";SE4;0;0;0;0;0;0;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:24";="020000055";SE5;0;0;0;0;0;0;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:24";="020000055";SE6;0;0;0;0;0;0;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:15:24";="020000055";SE7;0;0;0;0;0;0;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:49:30";="590782652";SE1;0;0;110;0;111;1;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:30";="590782652";SE2;0;0;1746;0;2040;1;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:30";="590782652";SE3;0;0;13;0;13;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:30";="590782652";SE4;0;0;245;0;245;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:30";="590782652";SE5;0;0;0;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:30";="590782652";SE6;0;0;0;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 09:49:30";="590782652";SE7;0;0;0;0;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:17";="020000261";SE1;0;0;702;0;720;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:17";="020000261";SE2;0;0;343;0;350;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:17";="020000261";SE3;0;0;61;0;67;6;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:17";="020000261";SE4;0;0;61;0;61;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:17";="020000261";SE5;0;0;9;0;9;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:17";="020000261";SE6;0;0;6;0;6;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:17";="020000261";SE7;0;0;14;0;15;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 13:08:33";="620000026";SE1;0;0;32;0;32;0;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:33";="620000026";SE2;0;0;167;0;167;0;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:33";="620000026";SE3;0;0;9;0;9;0;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:33";="620000026";SE4;0;0;0;0;0;0;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:33";="620000026";SE5;0;0;0;0;0;0;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:08:33";="620000026";SE6;0;0;23;0;23;0;2023.7;X620000026;29AUG23;13:08:26
