"champ";"statut";"annee";"periode";"date du resultat";"ipe";modesh;COUNT;PERCENT;count2;percent2;evol;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";8;534;78.414096916;619;81.127129751;-3.34417456;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";87;14;2.0558002937;18;2.3591087811;-12.85690977;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:35";="800000077";9;22;3.2305433186;20;2.621231979;23.245227606;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";62;73;21.220930233;44;14.285714286;48.546511628;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";71;21;6.1046511628;21;6.8181818182;-10.46511628;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";72;16;4.6511627907;9;2.9220779221;59.173126615;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";74;10;2.9069767442;3;0.974025974;198.4496124;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";8;133;38.662790698;124;40.25974026;-3.966616654;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";87;64;18.604651163;70;22.727272727;-18.13953488;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";9;27;7.8488372093;37;12.012987013;-34.6637335;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";62;82;32.03125;93;36.614173228;-12.51680108;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";63;5;1.953125;5;1.968503937;-0.78125;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";71;24;9.375;14;5.5118110236;70.089285714;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";72;12;4.6875;28;11.023622047;-57.47767857;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";8;95;37.109375;90;35.433070866;4.7309027778;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";87;13;5.078125;8;3.1496062992;61.23046875;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:15";="600100572";9;25;9.765625;16;6.2992125984;55.029296875;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";62;67;3.1514581373;67;3.3433133733;-5.738476011;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:21";="020004495";71;375;17.638758231;396;19.760479042;-10.73719319;2023.7;X020004495;28AUG23;15:44:15
