"champ";"statut";"annee";"periode";"date du resultat";"ipe";mode;ponder;pct_ponder;ponder_cn;dms;age_moy;age_med;pct_homme;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";87;4;6.0606060606;4;9.5;81;87.5;50;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:46:44";="590781670";8U;5;7.5757575758;5;11.2;79;83;40;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";71;7;3.6458333333;7;20.142857143;73;74;85.714285714;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";72;2;1.0416666667;2;17;90.5;90.5;0;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";8;143;74.479166667;143;12.93006993;71.652801993;79;46.153846154;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:50:57";="020000261";85;40;20.833333333;40;15.825;77.775;81;47.5;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";62;1;0.278551532;1;13;89;89;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";63;1;0.278551532;1;11;86;86;100;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";71;22;6.1281337047;22;16.636363636;62.139227895;68;72.727272727;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";72;1;0.278551532;1;12;79;79;100;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";74;1;0.278551532;1;4;58;58;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";76;1;0.278551532;1;24;72;72;100;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";7R;1;0.278551532;1;9;65;65;0;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";8;211;58.774373259;211;8.3127962085;60.431928845;71;37.914691943;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";85;105;29.247910864;105;12.628571429;68.256751468;75;33.333333333;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:13:53";="620100651";87;15;4.1782729805;15;9.5333333333;83.4;85;60;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";71;11;7.3825503356;11;15.090909091;76.181818182;76;36.363636364;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";72;1;0.6711409396;1;13;89;89;0;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";8;117;78.523489933;117;11.153846154;74.205128205;77;59.829059829;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:35:49";="590780284";85;20;13.422818792;20;15;77.1;79.5;55;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:42:55";="020000287";62;1;0.9708737864;1;1;71;71;0;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:55";="020000287";71;12;11.650485437;12;10.583333333;78.583333333;83;66.666666667;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:55";="020000287";8;63;61.165048544;63;8.3492063492;77.873015873;85;47.619047619;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:42:55";="020000287";85;27;26.213592233;27;12.62962963;79.703703704;82;55.555555556;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";71;2;1.2738853503;2;5.5;44.024657534;44.024657534;50;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";74;1;0.6369426752;1;3;60;60;0;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:32:57";="590797353";7R;1;0.6369426752;1;14;75;75;100;2023.7;X590797353;30AUG23;10:32:13
