"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;dep23;dep23_aut;nb23;ecart;dep23_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400890002677;9000267;9000267;I000051;447.53;851.18;10;181.734;629.264;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400890002677;9000267;9000267;I000053;161.11;170.236;2;-15.528;145.582;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400890002677;9000267;9000267;I999999;125.3;85.118;1;-40.182;85.118;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400890007351;9000735;9000735;I000203;4084;16275.56;8;6095.78;10179.78;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400892137377;9213737;9213737;I000287;7075.56;9447.69;70;1186.065;8261.625;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400892137377;9213737;9213737;I000290;1516.2;2024.505;15;254.1525;1770.3525;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400892137377;9213737;9213737;I000292;4952.92;6613.383;49;830.2315;5783.1515;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893001813;9300181;9300181;I000268;13199.48;13199.463;51;-0.017;13199.463;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893011119;9301111;9301111;I000106;29880.27;29880.238;37;-0.034;29880.236;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893011119;9301111;9301111;I000107;807.57;807.574;1;0.002;807.572;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893011119;9301111;9301111;I000109;8075.7;8075.74;10;0.02;8075.72;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893011119;9301111;9301111;I999999;18574.11;18574.202;23;0.046;18574.156;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893011287;9301128;9301128;I000106;323.03;323.03;2;0;323.03;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893011287;9301128;9301128;I000109;969.1;969.09;6;-0.01;969.09;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893047767;9304776;9304776;I999999;2911.08;2911.076;4;-0.004;2911.076;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893071779;9307177;9307177;I000359;4030.29;3909.387;3;-120.905;3909.385;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893071830;9307183;9307183;I000359;1343.43;1343.432;4;0.001;1343.431;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893126523;9312652;9312652;I000272;12353.82;12354.1;22;0.14;12353.96;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893126523;9312652;9312652;I000273;7861.4;7861.7;14;0.15;7861.55;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893126523;9312652;9312652;I000277;1684.62;1684.65;3;0.015;1684.635;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893126523;9312652;9312652;I000278;2807.65;2807.75;5;0.05;2807.7;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893126523;9312652;9312652;I999999;1123.07;1123.1;2;0.015;1123.085;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893126691;9312669;9312669;I000272;30323.7;30323.7;27;0;30323.7;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893126691;9312669;9312669;I000273;13477.2;13477.2;12;0;13477.2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893126691;9312669;9312669;I000277;5615.5;5615.5;5;0;5615.5;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893126691;9312669;9312669;I000278;5615.5;5615.5;5;0;5615.5;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893126691;9312669;9312669;I999999;2246.2;2246.2;2;0;2246.2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893126752;9312675;9312675;I000273;822.7;842.325;3;9.8075;832.5075;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893126752;9312675;9312675;I000277;261.14;280.775;1;9.8175;270.9575;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:25";="020000253";3400893287880;9328788;9328788;I000205;1205.13;1939.9;19;367.385;1572.515;2023.7;X020000253;24AUG23;14:38:01
