"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nb22a;dep22a;dep22_vala;nb22b;dep22b;dep22_valb;nbt22a;nbt22b;valo;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892137377;9213737;9213737;I000197;85;8558.179;10487.568;85;8558.179;10487.568;85;85;1.818989E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892137377;9213737;9213737;I000284;197;19834.833;24447.124;193;19432.095;23975.821;197;193;471.303;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892137377;9213737;9213737;I000287;379;38159.417;47126.871;374;37655.995;46537.7425;379;374;589.1285;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892137377;9213737;9213737;I000290;52;5235.593;6671.9935;52;5235.593;6671.9935;52;52;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892137377;9213737;9213737;I000292;1144;115183.01;142714.095;1120;112766.582;139886.277;1144;1120;2827.818;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892137377;9213737;9213737;I000293;114;11478.027;13795.5025;114;11478.027;13795.5025;114;114;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892137377;9213737;9213737;I999999;78;7853.387;9444.7655;78;7853.387;9444.7655;78;78;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892182612;9218261;9218261;I000015;2279;278493.487;279039.464;2114;258330.509;258836.9575;2279;2114;20202.5065;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892182612;9218261;9218261;I000016;146;17841.181;17876.1575;146;17841.181;17876.1575;146;146;3.637979E-12;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892182612;9218261;9218261;I000017;92;11242.387;11264.4275;92;11242.387;11264.4275;112;112;0;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892182612;9218261;9218261;I000018;2668;326029.236;326668.404;2626;320896.842;321525.948;2866;2824;5142.456;2023.7;X590780193;05SEP23;14:08:27
"mco";"dgf";"2023";"7";"2023/09/05 14:09:36";="590780193";3400892182612;9218261;9218261;I999999;2971;363055.794;363767.5515;2944;359756.398;360461.687;3111;3084;3305.8645;2023.7;X590780193;05SEP23;14:08:27
