"champ";"statut";"annee";"periode";"date du resultat";"ipe";code1;COUNT;PERCENT;pcum;scum;count_atu;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";FEJF0030;215;0.5889604164;67.656485413;24698;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";MDQK0010;215;0.5889604164;68.245445829;24913;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";JLQE0020;213;0.5834817148;68.828927544;25126;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";YYYY0710;213;0.5834817148;69.412409259;25339;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ZCQM0100;213;0.5834817148;69.995890974;25552;3;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";GLQP0120;206;0.5643062594;70.560197233;25758;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";JCGE0040;206;0.5643062594;71.124503493;25964;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";GLQP0070;199;0.545130804;71.669634297;26163;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";JDQM0010;196;0.5369127517;72.206547048;26359;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";CDQP0100;192;0.5259553486;72.732502397;26551;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ZCQJ0060;190;0.520476647;73.252979044;26741;126;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";HBQK0020;163;0.4465141761;73.69949322;26904;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";DKRP0040;161;0.4410354746;74.140528695;27065;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";CDQP0120;160;0.4382961238;74.578824819;27225;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";NZLB0010;154;0.4218600192;75.000684838;27379;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/10 13:22:47";="590780227";ALQP0030;145;0.3972058622;75.3978907;27524;0;2023.7;X590780227;10AUG23;13:22:39
