"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;adnp_1;adnp_2;adnp_v;adnp_x;adnp_Total;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 12:25:42";="020004404";nb_sea_crit5;0;0;0;0;;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 12:25:42";="020004404";nb_sea_dis;1;0;4344;0;;2023.7;X020004404;31AUG23;12:24:34
"mco";"dgf";"2023";"7";"2023/08/31 14:53:10";="600100713";nb_sea_crit1;37;0;5519;0;5556;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:10";="600100713";nb_sea_crit2;0;0;294;0;294;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:10";="600100713";nb_sea_crit3;0;0;191;0;191;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:10";="600100713";nb_sea_crit4;0;0;16394;0;16394;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:10";="600100713";nb_sea_crit5;0;0;0;0;;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 14:53:10";="600100713";nb_sea_dis;37;0;21003;0;;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 15:43:35";="590782215";nb_sea_crit1;0;0;14434;0;14434;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:35";="590782215";nb_sea_crit2;0;1;1190;0;1191;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:35";="590782215";nb_sea_crit3;1;0;787;0;788;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:35";="590782215";nb_sea_crit4;0;48;22947;0;22995;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:35";="590782215";nb_sea_crit5;0;0;0;0;;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 15:43:35";="590782215";nb_sea_dis;1;49;36020;0;;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/09/01 08:06:56";="020000071";nb_sea_crit1;0;0;14;0;14;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 08:06:56";="020000071";nb_sea_crit2;1;0;38;0;39;2023.7;X020000071;01SEP23;8:06:20
