"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;COL2;COL3;COL4;COL5;COL6;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/23 11:54:43";="590049565";nbabott;0;0;;0;0;;2023.7;X590049565;23AUG23;11:54:38
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";per;1;2;3;1;2;3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";nbrsa;15873;13586;16.833505079;11491;9906;16.000403796;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";cmd90;0;0;;0;0;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";hper;0;0;;0;0;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";typsejb;0;2;-100;0;1;-100;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";ghs9999;205;143;43.356643357;150;104;44.230769231;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";nbrsaseance;5379;4784;12.43729097;3934;3480;13.045977011;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";nbseances;5379;4784;12.43729097;3934;3480;13.045977011;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";nbrsa0;4805;3289;46.093037397;3483;2406;44.763092269;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";nbjJT0;1973;1478;33.49120433;1438;1057;36.045411542;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";nbrsah0;5689;5513;3.1924541992;4074;4020;1.3432835821;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";nbjh0;31682;32833;-3.505619346;22254;23683;-6.033863953;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";nbuhcd;2718;1425;90.736842105;1940;1138;70.474516696;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:07";="020000253";nbabott;0;0;;0;0;;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";per;1;2;3;1;2;3;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";nbrsa;16409;14072;16.607447413;11706;10201;14.753455544;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";cmd90;3316;0;;3159;0;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";hper;0;0;;0;0;;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";typsejb;14;12;16.666666667;9;5;80;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";ghs9999;84;3;2700;70;3;2233.3333333;2023.7;X620003376;25AUG23;10:37:19
