"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois_e;semaine_e;ponder;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee_e;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";6;;2;5;68.5;68.5;50;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";7;;3;6.6666666667;61;58;66.666666667;0;0;0;2023;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:28:44";="590782652";99;;21;6.9047619048;78.380952381;80;61.904761905;0;0;0;9999;2023.7;X590782652;29AUG23;9:28:13
"mco";"dgf";"2023";"7";"2023/08/29 09:48:55";="590780052";99;;;;;0;;;;;9999;2023.7;X590780052;29AUG23;9:48:30
"mco";"dgf";"2023";"7";"2023/08/29 10:19:48";="600100648";6;;1;11;83;83;100;0;0;0;2023;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:19:48";="600100648";99;;1;11;83;83;100;0;0;0;9999;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:33";="620000026";1;;1;4;33;33;0;0;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:33";="620000026";2;;2;8.5;67.5;67.5;50;0;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:33";="620000026";5;;1;5;69;69;0;0;0;0;2023;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:33";="620000026";99;;4;6.5;59.25;65.5;25;0;0;0;9999;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:23:23";="590065223";99;;;;;0;;;;;9999;2023.7;X590065223;29AUG23;13:23:00
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";12;;1;2;91;91;0;0;0;0;2022;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";1;;18;12.055555556;86.166666667;87.5;33.333333333;0;0;11.111111111;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";2;;7;7.2857142857;89.857142857;90;0;0;0;0;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";3;;12;9.0833333333;83.083333333;84.5;50;0;0;8.3333333333;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";4;;6;8.8333333333;85.333333333;85;33.333333333;0;0;16.666666667;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";5;;14;7.2857142857;80.071428571;83.5;42.857142857;0;0;14.285714286;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";6;;3;6;75.666666667;86;100;0;0;33.333333333;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";7;;1;0;79;79;0;0;0;0;2023;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:29";="620003350";99;;62;8.9032258065;83.983870968;86;37.096774194;0;0;11.290322581;9999;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:29";="590000600";99;;;;;0;;;;;9999;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";12;;2;7;77.5;77.5;0;0;0;0;2022;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";1;;11;8.6363636364;73.454545455;81;9.0909090909;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";2;;10;12;83.2;84.5;30;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";3;;5;10.2;85.4;90;20;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";4;;4;6.75;81.25;89.5;25;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";5;;5;10;85;87;40;0;0;0;2023;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:04";="620025346";99;;37;9.6486486486;80.324324324;84;21.621621622;0;0;0;9999;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";12;;1;7;88;88;0;0;0;0;2022;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";1;;3;5.6666666667;89.333333333;93;0;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";2;;1;20;55;55;0;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";3;;2;5;70;70;0;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";5;;2;9.5;70.5;70.5;0;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";6;;5;6.2;84.6;85;20;0;0;0;2023;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:37";="590001749";99;;14;7.4285714286;79.642857143;85;7.1428571429;0;0;0;9999;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:46:47";="590781670";12;;3;10.666666667;80;75;33.333333333;0;0;0;2022;2023.7;X590781670;29AUG23;14:46:17
