"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;classe_dist;nb;nb_valo;nb_nvalo;mnt_br;mnt_am;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 08:43:36";="020000287";TDE;02;315;313;2;47359.174205;43038.118179;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:36";="020000287";TDE;03;56;56;0;15983.422952;14624.917606;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:34:01";="590797353";TDE;01;638;596;42;49872.913645;44761.430543;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:01";="590797353";TDE;02;15;15;0;2245.2602541;2110.2457492;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:01";="590797353";TDE;03;5;4;1;1131.7217204;1067.6096849;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:01";="590797353";TSE;06;246;222;24;38352.684815;35743.148172;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:01";="590797353";TSE;07;2;2;0;473.41650653;470.10259098;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:01";="590797353";TSE;08;2;2;0;715.64411677;568.50768636;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:42";="590782421";TDE;01;994;964;30;82504.864068;78392.627939;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:42";="590782421";TDE;02;18;17;1;2535.865145;2195.2364937;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:42";="590782421";TDE;03;6;6;0;1699.57587;1517.4125822;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:42";="590782421";TDE;04;3;3;0;1385.906149;1281.1691275;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:42";="590782421";TDE;05;2;2;0;2048.016483;1824.8936922;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:42";="590782421";TSE;06;237;235;2;41514.259428;41223.659612;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:38";="800000051";TDE;01;17;17;0;1451.918604;1306.2187206;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:38";="800000051";TDE;02;47;47;0;7182.519555;6622.2526159;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:38";="800000051";TDE;03;3;3;0;842.243258;781.58996675;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:38";="800000051";TDE;04;1;1;0;478.528089;475.17839238;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:49";="800000135";TDE;01;7;7;0;590.947296;586.81066493;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:49";="800000135";TDE;02;8;8;0;1210.790985;1082.8797139;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:12:14";="590782165";TDE;01;573;562;11;48225.940872;45144.220645;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:14";="590782165";TDE;02;68;68;0;10383.88673;9551.1974043;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:14";="590782165";TDE;04;1;1;0;478.528089;475.17839238;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:40:17";="620101360";TDE;01;127;126;1;10758.89007;9957.6459549;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:17";="620101360";TDE;02;386;381;5;57911.35924;50475.523949;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:17";="620101360";TDE;03;31;31;0;8879.222796;7564.4533594;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:17";="620101360";TDE;04;2;2;0;932.217119;830.65592069;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:17";="620101360";TSE;06;1;1;0;170.541416;135.47810087;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:17";="620101360";TSE;07;4;4;0;973.193208;966.38085554;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:17";="620101360";TSE;08;5;5;0;1743.8118;1593.1043722;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:43";="590781662";TDE;01;65;65;0;5578.263318;5249.0720567;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:43";="590781662";TDE;02;77;76;1;11522.54987;10513.877649;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:43";="590781662";TDE;03;84;81;3;23238.516648;20798.637868;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:05:35";="590781621";TDE;01;22;22;0;1913.99208;1727.8128504;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:35";="590781621";TDE;02;212;211;1;32143.983335;28200.965422;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:35";="590781621";TDE;03;13;13;0;3765.405832;3392.5219863;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:20:11";="590052056";TDE;01;18;18;0;1498.7823521;1455.4913079;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:11";="590052056";TDE;02;6;6;0;879.02139377;872.86824401;2023.7;X590052056;30AUG23;15:19:03
