"champ";"statut";"annee";"periode";"date du resultat";"ipe";typ9a;_NAME_;col1;ordre;colb1;colc1;cold1;cole1;colf1;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/25 10:37:26";="620003376";3;nbmulti;417;6;1052;-60.36121673;131;773;-83.0530401;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";1;eff;7886;1;7458;5.7388039689;5598;5452;2.677916361;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";1;typA;5;2;1;400;4;1;300;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";1;entsor7;17;4;18;-5.555555556;9;13;-30.76923077;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";1;entsor6;18;5;22;-18.18181818;12;16;-25;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";1;nbmulti;98;6;86;13.953488372;67;63;6.3492063492;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";2;eff;2629;1;2771;-5.124503789;1887;2037;-7.36377025;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";2;typA;0;2;0;;0;0;;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";2;entsor7;0;4;1;-100;0;1;-100;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";2;entsor6;0;5;2;-100;0;0;;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";2;nbmulti;0;6;0;;0;0;;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";3;eff;6828;1;7462;-8.496381667;4794;5359;-10.54301176;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";3;typA;42;2;55;-23.63636364;26;34;-23.52941176;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";3;entsor7;89;4;97;-8.24742268;56;76;-26.31578947;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";3;entsor6;24;5;16;50;17;8;112.5;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 12:05:30";="620101337";3;nbmulti;2062;6;2118;-2.644003777;1409;1536;-8.268229167;2023.7;X620101337;25AUG23;12:05:23
"mco";"dgf";"2023";"7";"2023/08/25 14:46:34";="800000077";1;eff;354;1;438;-19.17808219;258;314;-17.8343949;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:34";="800000077";1;typA;0;2;0;;0;0;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:34";="800000077";1;entsor7;0;4;1;-100;0;1;-100;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:34";="800000077";1;entsor6;0;5;0;;0;0;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:34";="800000077";1;nbmulti;0;6;0;;0;0;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:34";="800000077";3;eff;327;1;325;0.6153846154;245;246;-0.406504065;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:34";="800000077";3;typA;0;2;0;;0;0;;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:34";="800000077";3;entsor7;16;4;8;100;11;6;83.333333333;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:34";="800000077";3;entsor6;6;5;12;-50;6;9;-33.33333333;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/25 14:46:34";="800000077";3;nbmulti;21;6;17;23.529411765;13;13;0;2023.7;X800000077;25AUG23;14:46:27
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";1;eff;13;1;32;-59.375;9;25;-64;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";1;typA;0;2;0;;0;0;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";1;entsor7;1;4;2;-50;1;2;-50;2023.7;X590782645;28AUG23;12:09:41
