"champ";"statut";"annee";"periode";"date du resultat";"ipe";lib;valo;eff;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I062;I062;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I07;I07;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I08;I08;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I09;I09;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I10;I10;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I11;I11;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I12;I12;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I13;I13;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I14;I14;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:15";="020000253";Dont Séjours valorisés avec forfait innovation I16;I16;0;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:38:25";="620003376";Séjours avec n° innovation rempli;----;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:25";="620003376";Séjours valorisés avec n° innovation rempli;----;0;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:38:25";="620003376";Dont Séjours valorisés avec n° innovation erroné;GHS;0;2023.7;X620003376;25AUG23;10:37:19
