"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nombre;nb_nonval;nombre_i0;nb_nonvalhp;nombre_et2;nombre_pbind;nb_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894274674;9427467;9427467;I000233;2;0;0;0;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894274674;9427467;9427467;I000234;8;0;0;0;0;0;8;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894274674;9427467;9427467;I999999;2;0;0;0;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894307365;9430736;9430736;I000595;4;0;0;0;0;0;4;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894312628;9431262;9431262;I000590;8;0;0;0;0;0;8;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894312628;9431262;9431262;I999999;6;0;0;0;0;0;6;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894335511;9433551;9433551;I000574;3;0;0;0;0;0;3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894387268;9438726;9438726;I000574;4;0;0;0;0;0;4;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894389798;9438979;9438979;I000267;25;0;0;0;0;0;25;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894389798;9438979;9438979;I000419;2;0;0;0;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894389798;9438979;9438979;I000612;3;0;0;0;0;0;3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894389798;9438979;9438979;I000616;6;0;0;0;0;0;6;2023.7;X020000253;24AUG23;14:38:01
