"champ";"statut";"annee";"periode";"date du resultat";"ipe";unite;code;nb;mnt_br;mnt_remb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;ACO;1;55.36;55.36;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;ADC;6;182.78;153.882;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;ADE;999;51758.81;43485.287;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;ATM;35;879.2;732.818;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;C;349;8027;7770.55;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;C   F;40;1760;1707.2;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;C   N;67;3886;3630.8;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;CS;632;14536;12171.6;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;CS  F;90;3785.4;3209.178;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;CS  N;119;5681.7;4713.885;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;FPX;2;39.22;39.22;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;FU2;8;278.95;243.74;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;MCS;28;140;110;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;MM;46;1840;1784;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;MOP;5;25;25;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;MPC;839;1678;1404;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;MSF;456;912;878.5;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;SAS;3;74.34;74.34;2023.7;X620103440;30AUG23;16:29:46
"mco";"dgf";"2023";"7";"2023/08/30 16:30:11";="620103440";11;SB2;4;209.04;209.04;2023.7;X620103440;30AUG23;16:29:46
