"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;PU;tarif;coef_mco;coef_mco_ok;qte_pb;br_pb;pb_coef;pb_coef2;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SIM;33.99;34.29;1;1;9;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SSF;18.73;18.89;1;1;1;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SSN;24.71;24.93;1;1;6;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SU3;19.38;19.17;1;1;3;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SUB;43.2;43.68;1;1;16;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SUM;12.66;12.52;1;1;36;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SUN;39.3;39.65;1;1;19;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 14:03:33";="590000600";SE1;81.21;81.41;0.9949;0.9943;59;0;59;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:33";="590000600";SE1;81.21;81.41;1.0019;0.9943;3;0;3;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:33";="590000600";SE1;81.21;85.78;0.993;0.9953;135;135;0;135;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:33";="590000600";SE1;81.21;85.78;0.9949;0.9953;26;0;26;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:03:33";="590000600";SE1;81.21;85.78;1;0.9953;3;3;0;3;2023.7;X590000600;29AUG23;14:03:29
