"champ";"statut";"annee";"periode";"date du resultat";"ipe";tremb2;mtm0;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 13:42:40";="800000135";80f;montant TM numérique;3;1.5873015873;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 14:12:03";="590782165";100;montant TM non numérique ou à 0;7846;69.225339686;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:03";="590782165";100f;montant TM non numérique ou à 0;490;4.3232751015;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:03";="590782165";80;montant TM numérique;2986;26.345509088;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:03";="590782165";80;montant TM non numérique ou à 0;9;0.0794070937;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:03";="590782165";80f;montant TM numérique;1;0.0088230104;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:12:03";="590782165";80f;montant TM non numérique ou à 0;2;0.0176460208;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 14:40:06";="620101360";100;montant TM non numérique ou à 0;9323;60.649232371;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:06";="620101360";100f;montant TM non numérique ou à 0;620;4.033307312;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:06";="620101360";80;montant TM numérique;4840;31.485818371;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:06";="620101360";80;montant TM non numérique ou à 0;534;3.4738485558;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:06";="620101360";80f;montant TM numérique;25;0.1626333594;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:06";="620101360";80f;montant TM non numérique ou à 0;20;0.1301066875;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:06";="620101360";90;montant TM numérique;10;0.0650533437;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:33";="590781662";100;montant TM non numérique ou à 0;1910;57.703927492;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:33";="590781662";100f;montant TM non numérique ou à 0;336;10.151057402;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:33";="590781662";80;montant TM numérique;1019;30.785498489;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:33";="590781662";80;montant TM non numérique ou à 0;1;0.0302114804;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:33";="590781662";80f;montant TM non numérique ou à 0;42;1.2688821752;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:33";="590781662";90;montant TM numérique;2;0.0604229607;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:05:24";="590781621";100;montant TM non numérique ou à 0;1704;40.388717706;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:24";="590781621";100f;montant TM non numérique ou à 0;203;4.811566722;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:24";="590781621";80;montant TM numérique;2143;50.794027021;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:24";="590781621";80;montant TM non numérique ou à 0;3;0.0711068974;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:24";="590781621";80f;montant TM numérique;165;3.9108793553;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:05:24";="590781621";90;montant TM numérique;1;0.0237022991;2023.7;X590781621;30AUG23;15:03:46
"mco";"dgf";"2023";"7";"2023/08/30 15:20:03";="590052056";100;montant TM non numérique ou à 0;8050;82.025677603;2023.7;X590052056;30AUG23;15:19:03
