"champ";"statut";"annee";"periode";"date du resultat";"ipe";spec_exc;code1;nb;mnt_br;mnt_remb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";86;CS;4;92;92;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";86;MCS;4;20;20;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";86;MPC;4;8;8;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";91;CS;4;92;71.3;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";91;MCS;17;85;62.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";91;MPC;17;42.4;31.09;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";91;TC;1;23;16.1;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";PS;APC;2;110;77;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";PS;CNP;32;1360;1079.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";PS;CS;49;1127;908.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";PS;G;4;100;77.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";PS;MCG;4;20;15.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";PS;MCS;205;1025;801;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";PS;MOP;3;15;15;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";PS;MPC;208;523.1;408.01;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";PS;TC;2;46;39.1;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 14:17:40";="590782165";21;FFE;1;52.76;52.76;2023.7;X590782165;30AUG23;14:17:25
