"champ";"statut";"annee";"periode";"date du resultat";"ipe";code1;mnt_avb;mnt_am_avb;mnt_apb;mnt_am_apb;mnt;mnt_am;mnt_br_fides;mnt_remb_fides;cpt;mnt_am_mat2a;mnt_am_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 12:29:52";="020000253";INNOVATION;0;0;0;0;0;0;0;0;12;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:52";="020000253";URGENCE;772536.51;772536.47862;0;0;772536.51;772536.47862;0;0;13;772536.47862;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 10:04:34";="620003376";ATU;0;0;0;0;0;0;0;0;1;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:34";="620003376";FFM;0;0;0;0;0;0;0;0;2;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:34";="620003376";DIALYSE;0;0;0;0;0;0;0;0;3;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:34";="620003376";FTN;0;0;0;0;0;0;0;0;4;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:34";="620003376";CCAM;90075.57;79369.4268;0;0;90075.57;591399.58439;617059.54;512030.15759;5;79369.4268;512030.15759;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:34";="620003376";SE;100111.26937;87314.244406;0;0;100111.26937;87314.244406;0;0;6;87314.244406;2.037268E-10;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:34";="620003376";NGAP;-774;-783;0;0;-774;1109098.673;1394618.84;1109881.673;7;-783;1109881.673;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:34";="620003376";DMI;8452.62;8452.62;0;0;8452.62;8452.62;0;0;8;8452.62;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:34";="620003376";MED;0;0;0;0;0;0;0;0;9;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:34";="620003376";INNOVATION;0;0;0;0;0;0;0;0;12;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 10:04:34";="620003376";URGENCE;977572.6;977524.07247;0;0;977572.6;977524.07247;0;0;13;977524.07247;5.3551048E-9;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";ATU;0;0;0;0;0;0;0;0;1;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";FFM;0;0;0;0;0;0;0;0;2;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";DIALYSE;0;0;0;0;0;0;0;0;3;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";FTN;79331.3325;79331.3325;0;0;79331.3325;350702.08592;271373.1615;271370.75342;4;79331.3325;271370.75342;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";CCAM;9733.61;9217.744;0;0;9733.61;474734.27647;588671.58;465516.53247;5;9217.744;465516.53247;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";SE;6225.463577;5705.5593394;0;0;6225.463577;5705.5593394;0;0;6;5705.5593394;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";NGAP;-444.96;-515.252;0;0;-444.96;331423.014;431803.02;331938.266;7;-515.252;331938.266;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";DMI;0;0;0;0;0;0;0;0;8;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";MED;0;0;0;0;0;0;0;0;9;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";INNOVATION;0;0;0;0;0;0;0;0;12;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 11:33:19";="600100648";URGENCE;1424860.15;1424860.1461;0;0;1424860.15;1424860.1461;0;0;13;1424860.1461;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";ATU;37582.883212;30556.242935;0;0;37582.883212;30556.242935;0;0;1;30556.242935;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 12:07:08";="620101337";FFM;0;0;0;0;0;0;0;0;2;0;0;2023.7;X620101337;25AUG23;12:06:41
