"champ";"statut";"annee";"periode";"date du resultat";"ipe";combmpc;mpcp;mpca;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;nbcim;pctcum;nbsej;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";0411;04;11;34;19;452;2.6704478317;40;13.546460177;2.907079646;83.024336283;53;72.155264091;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";1400;14;00;32;23;391;2.3100555359;40;13.846547315;3;82.987212276;74;74.465319627;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";1401;14;01;32;18;375;2.2155264091;30;13.973333333;2.408;69.098666667;46;76.680846036;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";0407;04;07;90;81;371;2.1918941274;30;13.832884097;4.5013477089;74.876010782;124;78.872740163;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";;98;;1581;1201;13350;;50;10.208834021;3.1945265981;74.448836764;507;78.872740163;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";;99;;2076;1607;16926;;50;10.539820395;3.1341722793;73.352652724;590;100;894;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";0900;09;00;81;31;1625;15.356265356;50;6.2836923077;2.0713846154;54.635076923;150;15.356265356;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";0409;04;09;75;37;1091;10.30996031;30;13.271310724;4.6755270394;80.493125573;136;25.666225666;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";0406;04;06;63;38;891;8.41995842;30;15.170594837;6.684624018;59.858585859;107;34.086184086;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";0400;04;00;61;37;860;8.127008127;30;13.877906977;4.7941860465;75.740697674;119;42.213192213;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";1411;14;11;50;22;842;7.9569079569;40;13.523752969;3.567695962;81.878859857;74;50.17010017;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";0401;04;01;59;39;669;6.3220563221;30;14.665171898;5.1569506726;85.116591928;141;56.492156492;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";0614;06;14;20;7;397;3.7516537517;20;15.59697733;3.8060453401;60.926952141;48;60.243810244;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";1000;10;00;30;20;377;3.5626535627;50;6.700265252;2.1803713528;62.066312997;68;63.806463806;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";0402;04;02;38;27;364;3.4398034398;40;11.200549451;2.9120879121;65.362637363;106;67.246267246;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";1401;14;01;22;12;347;3.2791532792;30;13.135446686;4.0461095101;81.812680115;75;70.525420525;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";0901;09;01;28;18;308;2.9106029106;40;11.019480519;5.3733766234;83.795454545;44;73.436023436;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";1400;14;00;13;6;273;2.5798525799;30;14.919413919;5.3333333333;80.981684982;45;76.015876016;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";0801;08;01;11;3;242;2.2869022869;30;12.194214876;4.2892561983;96.429752066;12;78.302778303;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";;98;;551;297;8286;;40;12.181928097;4.2156873426;72.220454723;475;78.302778303;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";;99;;837;516;10582;;40;11.828104328;3.9990549991;71.419013419;561;100;250;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:49:54";="800000085";0900;09;00;85;37;1803;25.658175608;50;7.1142540211;2.7121464226;74.450915141;26;25.658175608;;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:54";="800000085";0400;04;00;61;43;687;9.7765760638;40;11.99272198;3.9781659389;74.422125182;22;35.434751672;;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:54";="800000085";0407;04;07;66;52;511;7.271951046;30;14.561643836;5.6731898239;78.655577299;38;42.706702718;;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:54";="800000085";0413;04;13;31;18;463;6.5888714957;40;9.9416846652;3.1835853132;58.099352052;12;49.295574214;;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:54";="800000085";1409;14;09;14;4;370;5.2654048669;30;15.789189189;7.3945945946;99.027027027;5;54.560979081;;2022.12;X800000085;01FEB23;15:49:45
