"champ";"statut";"annee";"periode";"date du resultat";"ipe";ght;nbj;pctj;valobr;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";90;10138;100;2321201.2574;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";03;15;0.0892272917;1465.794018;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";04;596;3.5452977217;69128.187612;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";05;913;5.4309678187;122490.7602;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";06;1236;7.3523288323;187891.93652;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";07;1189;7.0727499851;199170.53807;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";08;1532;9.113080721;281118.59848;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";09;973;5.7878769853;196486.66441;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";10;1393;8.2862411516;306248.19721;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";11;1987;11.819641901;467784.29355;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";12;1270;7.5545773601;325949.83345;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";13;1650;9.815002082;445740.9244;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";14;440;2.6173338885;126989.66048;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";15;824;4.9015525549;255186.67848;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";16;124;0.7376122777;40181.995926;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";17;1004;5.9722800547;339611.09107;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";18;179;1.0647790137;65539.344348;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";19;219;1.3027184582;82090.752012;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";20;298;1.7726488609;119033.08284;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";21;360;2.1414549997;148541.32172;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";22;62;0.3688061388;26994.877428;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";23;333;1.9808458747;146645.18449;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";24;51;0.3033727916;24177.79929;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";25;81;0.4818273749;36486.350808;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";26;27;0.160609125;13930.758714;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";27;29;0.1725060972;15417.134124;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:58";="590782652";30;19;0.1130212361;11178.979008;2022.12;X590782652;30JAN23;11:42:15
