"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;nb;nbok;montant;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400893519653;9351965;9351965;7;7;211.75;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400893519714;9351971;9351971;7;7;415.87;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400893530658;9353065;9353065;82;82;133.947;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400893544495;9354449;9354449;1;1;588.341;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400894081975;9408197;9408197;43;43;7114.35;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400894162452;9416245;9416245;31;31;5283.64;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400894325055;9432505;9432505;2;2;10.69;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400894332848;9433284;9433284;7;7;142.94;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400894506218;9450621;9450621;41;41;5669.152;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400894570431;9457043;9457043;14;14;3511.06;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:56";="800000077";3400893325254;9332525;9332525;73;73;841.69;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/27 14:51:57";="800000093";3400892505725;9250572;9250572;102;102;127538.82;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:57";="800000093";3400894165934;9416593;9416593;1;1;2.34;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:57";="800000093";3400894228080;9422808;9422808;60;60;82442.88;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:57";="800000093";3400894324973;9432497;9432497;120;120;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400890007689;9000768;9000768;40;40;816.8;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400890007696;9000769;9000769;14;14;357.36;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400891251579;9125157;9125157;33;33;235.85;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400891251630;9125163;9125163;21;21;548.52;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400891288131;9128813;9128813;109;109;2905.94;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400891372557;9137255;9137255;396;396;4905.14;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400891372618;9137261;9137261;42;42;275.17;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400891464030;9146403;9146403;30;30;1739.88;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400891713121;9171312;9171312;1;1;587.41;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400892270302;9227030;9227030;280;280;8654.24;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400892353548;9235354;9235354;1;1;1346.45;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400892353777;9235377;9235377;2;2;2350.8;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:50";="800000523";3400892617886;9261788;9261788;6;6;2617.5;2022.11;X800000523;22DEC22;10:53:02
