"champ";"statut";"annee";"periode";"date du resultat";"ipe";diagp1;N;nbj;pctj;nbsej;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";C34;59;341;1.5958442531;43;67.947397978;C34;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";C50;90;272;1.2729314863;84;69.220329465;C50;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";G35;260;262;1.2261325346;260;70.446461999;G35;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";P92;22;216;1.0108573568;14;71.457319356;P92;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";R52;56;213;0.9968176713;50;72.454137027;R52;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";C61;11;212;0.9921377761;5;73.446274803;C61;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";I33;15;210;0.9827779858;10;74.429052789;I33;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";C56;44;194;0.907899663;35;75.336952452;C56;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";C25;15;192;0.8985398727;4;76.235492325;C25;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";Z48;24;176;0.82366155;11;77.059153875;Z48;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";M86;12;174;0.8143017596;7;77.873455635;M86;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";C18;24;173;0.8096218645;16;78.683077499;C18;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";F53;10;167;0.7815424934;10;79.464619993;F53;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";80%;2568;16980;;1983;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";Tot;3158;21368;;2447;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";L89;77;917;5.9322033898;23;5.9322033898;L89;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C34;67;694;4.4895846811;17;10.421788071;C34;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";J96;52;634;4.1014361496;11;14.52322422;J96;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";I50;91;608;3.9332384526;49;18.456462673;I50;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C78;30;487;3.1504722474;4;21.60693492;C78;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";G81;50;455;2.9434596972;14;24.550394618;G81;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";F03;54;447;2.8917065597;21;27.442101177;F03;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C67;46;397;2.5682494501;13;30.010350628;C67;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C22;44;383;2.4776814594;13;32.488032087;C22;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C18;146;360;2.328891189;131;34.816923276;C18;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C25;68;335;2.1671626342;42;36.98408591;C25;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";E86;39;334;2.160693492;16;39.144779402;E86;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";S91;28;310;2.0054340794;7;41.150213482;S91;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C20;36;304;1.9666192263;19;43.116832708;C20;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C50;35;270;1.7466683918;11;44.8635011;C50;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";C61;35;261;1.688446112;8;46.551947212;C61;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";R19;15;248;1.6043472636;3;48.156294475;R19;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";S81;20;246;1.5914089792;8;49.747703455;S81;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:12";="590782652";U07;33;239;1.5461249838;14;51.293828438;U07;2022.11;X590782652;29DEC22;12:11:02
