"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghpcp;mpcp;mpca;ikmin;ikmax;N;nbseq;nbj;pctj;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";1012;09;00;50;50;85;42;1503;7.033882441;41;21;31.238095238;47.266941221;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";1752;19;00;70;80;136;120;1258;5.8873081243;110;28;12.857142857;53.154249345;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";0876;08;00;70;80;116;92;1185;5.5456757769;88;46;16.152173913;58.699925122;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";0252;03;00;60;60;326;315;908;4.2493448147;315;313;2.8242811502;62.949269936;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";1797;21;00;70;80;50;43;666;3.1168101835;39;31;18.193548387;66.06608012;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";1146;10;00;50;50;37;25;529;2.4756645451;25;12;24.833333333;68.541744665;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";2530;22;00;100;100;22;19;376;1.7596405841;19;19;19.789473684;70.301385249;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";0877;08;00;60;60;236;236;285;1.3337701235;236;236;1.2076271186;71.635155373;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";0905;08;06;70;80;34;30;284;1.3290902284;27;5;18.2;72.964245601;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";0368;04;00;30;30;19;15;283;1.3244103332;15;8;14.25;74.288655934;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";1774;19;25;60;60;18;11;280;1.3103706477;10;4;26;75.599026582;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";0410;04;07;30;30;21;13;274;1.2822912767;13;7;17.142857143;76.881317858;2022.11;X590780193;30DEC22;11:03:01
