"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/22 15:00:22";="600100713";07;175;175;1218;12.464183381;30;14.21182266;5.7988505747;77.022988506;94.170771757;146;142;94;7.6170212766;83.514121981;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:22";="600100713";03;53;53;711;7.2758902988;60;6.0886075949;2.6483825598;68.29535865;14.064697609;85;50;37;16.459459459;90.79001228;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:22";="600100713";13;17;17;395;4.0421612771;50;8.5620253165;2.0962025316;69.756962025;84.303797468;24;10;4;42;94.832173557;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:22";="600100713";05;31;31;249;2.5480966025;50;5.3614457831;2.4257028112;69.935742972;24.899598394;10;28;25;5.8;97.38027016;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:22";="600100713";14;5;5;134;1.3712648383;30;15.805970149;3.8059701493;45.776119403;100;14;5;5;26.8;98.751534998;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:22";="600100713";06;5;5;93;0.9516987311;50;7.7204301075;2;65.11827957;100;6;3;2;42.5;99.703233729;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:22";="600100713";10;3;3;23;0.2353663528;90;4.5217391304;2;8.6956521739;100;4;3;3;7.6666666667;99.938600082;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:22";="600100713";01;1;1;6;0.0613999181;20;12;6;68;100;3;1;1;6;100;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:22";="600100713";99;578;578;9772;;40;10.165575113;3.722984036;69.648628735;57.439446367;269;392;301;19.342192691;100;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:33";="600100721";09;90;45;1670;23.908375089;50;9.9377245509;3.0850299401;66.317964072;40.239520958;173;39;34;42.882352941;23.908375089;2022.11;X600100721;02JAN23;9:22:25
