"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;annee;mois;COUNT;PERCENT;noligne;nonval;count1;evol;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de journées de présence;2022;9;263;;3;;236;11.440677966;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nombre de RAPSS transmis;2022;10;20;8.4745762712;1;;15;33.333333333;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de journées de présence;2022;10;326;;3;;229;42.358078603;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nombre de RAPSS transmis;2022;11;12;5.0847457627;1;;15;-20;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de journées de présence;2022;11;216;;3;;189;14.285714286;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nombre de RAPSS transmis;2022;12;18;7.6271186441;1;;18;0;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de journées de présence;2022;12;361;;3;;362;-0.276243094;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nombre de RAPSS transmis;2022;1;64;8.3116883117;1;;72;-11.11111111;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de journées de présence;2022;1;873;;3;;969;-9.907120743;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nombre de RAPSS transmis;2022;2;55;7.1428571429;1;;64;-14.0625;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de journées de présence;2022;2;751;;3;;941;-20.19128587;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nombre de RAPSS transmis;2022;3;67;8.7012987013;1;;83;-19.27710843;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de journées de présence;2022;3;1013;;3;;1126;-10.03552398;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nombre de RAPSS transmis;2022;4;70;9.0909090909;1;;88;-20.45454545;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de journées de présence;2022;4;938;;3;;1153;-18.64700781;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nombre de RAPSS transmis;2022;5;61;7.9220779221;1;;81;-24.69135802;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de journées de présence;2022;5;934;;3;;1134;-17.6366843;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nombre de RAPSS transmis;2022;6;67;8.7012987013;1;;70;-4.285714286;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de journées de présence;2022;6;827;;3;;946;-12.57928118;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nombre de RAPSS transmis;2022;7;70;9.0909090909;1;;78;-10.25641026;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de journées de présence;2022;7;803;;3;;971;-17.30175077;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nombre de RAPSS transmis;2022;8;60;7.7922077922;1;;72;-16.66666667;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:22";="800000069";Nb de journées de présence;2022;8;832;;3;;967;-13.96070321;2022.12;X800000069;27JAN23;16:29:15
